rep,id_var,initT_simulated,aS_simulated,dS_simulated,lBt0_simulated,lk_simulated,lae_simulated,lw_simulated,dE_simulated,eta_initT_simulated,eta_aS_simulated,eta_dS_simulated,eta_lBt0_simulated,eta_lk_simulated,eta_lae_simulated,eta_lw_simulated,eta_dE_simulated,data,split,color,filter
3,47,-7.14159,3.79768,2.60796,0.0114281,-4.40363,-0.0111438,-2.99573,0,-4.73233,0.00803409,4.6,0,-0.105361,0,-3.7386,0.224726,thai,All,#4682B4,0
4,47,-9.57698,1.36228,2.58599,-0.0105393,-4.35306,0.03942,-2.99573,0,-4.72089,0.0194723,4.6,0,-0.105361,0,-3.24199,0.721339,thai,All,#4682B4,0
5,47,-7.90568,3.03358,2.59048,-0.00604617,-4.36067,0.0318096,-2.99573,0,-4.73457,0.00579541,4.6,0,-0.105361,0,-4.31148,-0.348155,thai,All,#4682B4,0
6,47,-7.90452,3.03474,2.59532,-0.00121327,-4.37758,0.0148995,-2.99573,0,-4.73012,0.0102424,4.6,0,-0.105361,0,-4.22984,-0.266516,thai,All,#4682B4,0
7,47,-10.4601,0.479209,2.57484,-0.0216932,-4.36584,0.0266441,-2.99573,0,-4.74933,-0.00896716,4.6,0,-0.105361,0,-4.22327,-0.259942,thai,All,#4682B4,0
8,47,-8.21821,2.72106,2.5882,-0.00833347,-4.40864,-0.0161543,-2.99573,0,-4.7327,0.00766151,4.6,0,-0.105361,0,-3.58023,0.383093,thai,All,#4682B4,0
9,47,-8.40869,2.53057,2.58923,-0.00730253,-4.40375,-0.0112628,-2.99573,0,-4.74978,-0.00941471,4.6,0,-0.105361,0,-4.14908,-0.185752,thai,All,#4682B4,0
10,47,-6.43893,4.50033,2.57131,-0.0252148,-4.44797,-0.0554886,-2.99573,0,-4.74657,-0.00620648,4.6,0,-0.105361,0,-3.81197,0.151354,thai,All,#4682B4,0
1,48,-9.24675,1.69251,2.58503,-0.0115036,-4.36366,0.0288221,-2.99573,0,-4.73121,0.00915422,4.6,0,-0.105361,0,-4.55808,-0.594751,thai,All,#4682B4,0
2,48,-9.76305,1.17622,2.58741,-0.00911572,-4.35399,0.0384908,-2.99573,0,-4.75189,-0.0115323,4.6,0,-0.105361,0,-4.39531,-0.431981,thai,All,#4682B4,0
3,48,-8.73014,2.20912,2.58774,-0.00879285,-4.40447,-0.0119875,-2.99573,0,-4.74769,-0.00732635,4.6,0,-0.105361,0,-3.91269,0.0506414,thai,All,#4682B4,0
4,48,-6.87646,4.0628,2.58761,-0.00892189,-4.37488,0.0176016,-2.99573,0,-4.73313,0.00722706,4.6,0,-0.105361,0,-3.62008,0.343244,thai,All,#4682B4,0
