rep,id,eta_initT,eta_aS,eta_dS,eta_tau,eta_lBt0,eta_lp,eta_dI,eta_lk,eta_lae,eta_lw,eta_dE,eta_lE50,data
6,50,3.667762,0.005778,-0.011186,0.000000,-0.004885,0.000000,0.000000,-0.270656,-0.013063,-0.086059,0.455640,0.000000,thai
7,50,3.841549,-0.018004,0.009965,0.000000,0.012097,0.000000,0.000000,0.466316,-0.140670,0.294943,1.266473,0.000000,thai
8,50,4.843344,0.013989,-0.073439,0.000000,-0.011324,0.000000,0.000000,-0.018418,0.024304,1.001984,-0.053400,0.000000,thai
9,50,4.542713,0.012427,0.017475,0.000000,0.011236,0.000000,0.000000,0.260742,0.120970,-0.552296,0.398876,0.000000,thai
10,50,3.064267,-0.012254,-0.019084,0.000000,-0.010663,0.000000,0.000000,-0.066993,0.083446,-0.041906,0.647868,0.000000,thai
1,51,0.006055,-0.003609,0.042313,0.000000,-0.007470,0.000000,0.000000,-0.359105,-0.017103,-0.002990,-0.802857,0.000000,thai
2,51,0.725900,-0.005780,0.004747,0.000000,-0.006932,0.000000,0.000000,-0.346902,0.164525,-0.489472,-0.321491,0.000000,thai
3,51,1.500178,0.000356,-0.003375,0.000000,0.002227,0.000000,0.000000,-0.065508,-0.231626,-0.638603,-0.086393,0.000000,thai
4,51,1.137068,-0.008314,0.022369,0.000000,-0.004167,0.000000,0.000000,0.326632,-0.009620,-0.767616,-0.676169,0.000000,thai
5,51,1.039355,0.025595,0.008690,0.000000,0.011106,0.000000,0.000000,-0.494755,0.122902,-0.324704,-0.528182,0.000000,thai
6,51,2.235951,0.018807,-0.024005,0.000000,0.000147,0.000000,0.000000,-0.478539,-0.004525,-0.035301,1.579905,0.000000,thai
7,51,-0.974662,-0.023557,0.038543,0.000000,-0.000602,0.000000,0.000000,0.442960,0.154282,-0.538928,-1.344543,0.000000,thai
8,51,0.356334,-0.000635,-0.015951,0.000000,0.000746,0.000000,0.000000,0.199887,-0.167842,-1.107301,-0.130262,0.000000,thai
9,51,1.116499,-0.013839,-0.010094,0.000000,0.002788,0.000000,0.000000,0.566245,0.009483,-1.013184,-0.478017,0.000000,thai
10,51,-0.923076,-0.001483,0.009507,0.000000,0.000693,0.000000,0.000000,-0.497879,0.226630,-0.290683,0.531070,0.000000,thai
1,1,-0.655040,0.006658,0.029970,0.000000,0.001585,0.000000,0.000000,-0.858961,-0.038720,-0.185910,1.544097,0.000000,africa
2,1,-0.920558,-0.002972,0.031621,0.000000,-0.012697,0.000000,0.000000,-1.056942,-0.084522,0.301564,-0.344114,0.000000,africa
3,1,0.815995,0.002315,0.036088,0.000000,0.007152,0.000000,0.000000,-1.098023,-0.069546,0.683162,1.518632,0.000000,africa
4,1,2.148109,-0.003307,-0.033179,0.000000,0.005033,0.000000,0.000000,-1.166811,-0.313931,0.331335,0.580745,0.000000,africa
5,1,-1.573793,-0.025066,0.029582,0.000000,0.002308,0.000000,0.000000,-1.194234,-0.058183,0.368281,0.890419,0.000000,africa
6,1,-0.536652,-0.022823,0.014579,0.000000,-0.003726,0.000000,0.000000,-0.752561,0.089818,-0.131263,-0.047158,0.000000,africa
7,1,2.335442,-0.007485,-0.026165,0.000000,0.006008,0.000000,0.000000,-0.444656,-0.292760,-0.106965,0.778734,0.000000,africa
8,1,-1.287357,-0.014725,-0.016024,0.000000,-0.010290,0.000000,0.000000,-0.351978,-0.084364,-0.505535,-0.005823,0.000000,africa
9,1,1.409014,0.007005,-0.021964,0.000000,-0.000175,0.000000,0.000000,0.046521,-0.092058,-0.512070,1.846294,0.000000,africa
