initT_abscissa,initT_cdf,dS_abscissa,dS_cdf,lBt0_abscissa,lBt0_cdf,lw_abscissa,lw_cdf,lI50_abscissa,lI50_cdf,split
-0.438307,0.303922,-0.468531,0.303922,-0.4823,0.303922,-0.573424,0.303922,-0.48849,0.303922,All
-0.435789,0.305882,-0.467734,0.305882,-0.476088,0.305882,-0.572783,0.305882,-0.48743,0.305882,All
-0.423155,0.307843,-0.46768,0.307843,-0.475481,0.307843,-0.569086,0.307843,-0.481639,0.307843,All
-0.415185,0.309804,-0.464977,0.309804,-0.474827,0.309804,-0.566751,0.309804,-0.47946,0.309804,All
-0.414251,0.311765,-0.464854,0.311765,-0.467652,0.311765,-0.565039,0.311765,-0.472301,0.311765,All
-0.404207,0.313725,-0.46429,0.313725,-0.460249,0.313725,-0.562204,0.313725,-0.46677,0.313725,All
-0.382519,0.315686,-0.463336,0.315686,-0.44981,0.315686,-0.558456,0.315686,-0.460578,0.315686,All
-0.365633,0.317647,-0.457713,0.317647,-0.442349,0.317647,-0.550588,0.317647,-0.449657,0.317647,All
-0.356975,0.319608,-0.451063,0.319608,-0.438645,0.319608,-0.547937,0.319608,-0.448597,0.319608,All
-0.35097,0.321569,-0.449088,0.321569,-0.434941,0.321569,-0.542099,0.321569,-0.447577,0.321569,All
-0.34369,0.323529,-0.448639,0.323529,-0.434731,0.323529,-0.53116,0.323529,-0.446839,0.323529,All
-0.337275,0.32549,-0.440244,0.32549,-0.43221,0.32549,-0.530068,0.32549,-0.436017,0.32549,All
-0.330775,0.327451,-0.437021,0.327451,-0.431385,0.327451,-0.519285,0.327451,-0.427119,0.327451,All
-0.326357,0.329412,-0.43482,0.329412,-0.426475,0.329412,-0.517071,0.329412,-0.416131,0.329412,All
-0.319254,0.331373,-0.42311,0.331373,-0.424276,0.331373,-0.516051,0.331373,-0.414109,0.331373,All
-0.318342,0.333333,-0.419721,0.333333,-0.416495,0.333333,-0.515908,0.333333,-0.408363,0.333333,All
-0.313761,0.335294,-0.417027,0.335294,-0.411387,0.335294,-0.508124,0.335294,-0.407111,0.335294,All
-0.310275,0.337255,-0.415498,0.337255,-0.409835,0.337255,-0.50709,0.337255,-0.406819,0.337255,All
-0.305471,0.339216,-0.410991,0.339216,-0.402714,0.339216,-0.506558,0.339216,-0.404996,0.339216,All
-0.294624,0.341176,-0.407018,0.341176,-0.399286,0.341176,-0.502006,0.341176,-0.403942,0.341176,All
-0.294561,0.343137,-0.406794,0.343137,-0.391636,0.343137,-0.497269,0.343137,-0.403415,0.343137,All
-0.29046,0.345098,-0.399336,0.345098,-0.388564,0.345098,-0.496165,0.345098,-0.398289,0.345098,All
-0.271961,0.347059,-0.399175,0.347059,-0.385455,0.347059,-0.495678,0.347059,-0.38876,0.347059,All
-0.26726,0.34902,-0.394722,0.34902,-0.382741,0.34902,-0.494593,0.34902,-0.386251,0.34902,All
-0.266652,0.35098,-0.390112,0.35098,-0.380168,0.35098,-0.488771,0.35098,-0.380454,0.35098,All
-0.261916,0.352941,-0.383547,0.352941,-0.379307,0.352941,-0.487953,0.352941,-0.377719,0.352941,All
-0.253907,0.354902,-0.382953,0.354902,-0.377834,0.354902,-0.484267,0.354902,-0.373464,0.354902,All
-0.248168,0.356863,-0.382156,0.356863,-0.37515,0.356863,-0.469712,0.356863,-0.372091,0.356863,All
-0.244625,0.358824,-0.375265,0.358824,-0.364947,0.358824,-0.469092,0.358824,-0.371907,0.358824,All
-0.242179,0.360784,-0.37498,0.360784,-0.361404,0.360784,-0.46895,0.360784,-0.368021,0.360784,All
-0.235158,0.362745,-0.370003,0.362745,-0.354029,0.362745,-0.463704,0.362745,-0.367735,0.362745,All
-0.235118,0.364706,-0.368145,0.364706,-0.350231,0.364706,-0.462478,0.364706,-0.364412,0.364706,All
-0.234329,0.366667,-0.365214,0.366667,-0.350099,0.366667,-0.450411,0.366667,-0.361911,0.366667,All
-0.22064,0.368627,-0.352086,0.368627,-0.350029,0.368627,-0.447658,0.368627,-0.361584,0.368627,All
-0.218286,0.370588,-0.350337,0.370588,-0.339927,0.370588,-0.431775,0.370588,-0.361509,0.370588,All
-0.214184,0.372549,-0.34851,0.372549,-0.339301,0.372549,-0.425292,0.372549,-0.344882,0.372549,All
-0.211153,0.37451,-0.341427,0.37451,-0.335351,0.37451,-0.424174,0.37451,-0.34384,0.37451,All
-0.211137,0.376471,-0.335841,0.376471,-0.324902,0.376471,-0.413192,0.376471,-0.339599,0.376471,All
-0.194496,0.378431,-0.328113,0.378431,-0.323105,0.378431,-0.413003,0.378431,-0.335113,0.378431,All
-0.193676,0.380392,-0.320997,0.380392,-0.322628,0.380392,-0.411748,0.380392,-0.332822,0.380392,All
-0.192048,0.382353,-0.31995,0.382353,-0.313792,0.382353,-0.411088,0.382353,-0.32849,0.382353,All
-0.191359,0.384314,-0.313117,0.384314,-0.312901,0.384314,-0.395499,0.384314,-0.325418,0.384314,All
-0.190737,0.386275,-0.30894,0.386275,-0.307853,0.386275,-0.393484,0.386275,-0.322377,0.386275,All
-0.169518,0.388235,-0.303101,0.388235,-0.307281,0.388235,-0.38979,0.388235,-0.318279,0.388235,All
-0.156125,0.390196,-0.299698,0.390196,-0.29896,0.390196,-0.389053,0.390196,-0.293305,0.390196,All
-0.154957,0.392157,-0.298417,0.392157,-0.292565,0.392157,-0.386786,0.392157,-0.290531,0.392157,All
-0.153058,0.394118,-0.295739,0.394118,-0.277567,0.394118,-0.385209,0.394118,-0.280825,0.394118,All
-0.146675,0.396078,-0.2938,0.396078,-0.273829,0.396078,-0.385182,0.396078,-0.278007,0.396078,All
-0.141146,0.398039,-0.283134,0.398039,-0.267342,0.398039,-0.381792,0.398039,-0.277035,0.398039,All
-0.135776,0.4,-0.277887,0.4,-0.265751,0.4,-0.381357,0.4,-0.275138,0.4,All
-0.133176,0.401961,-0.275761,0.401961,-0.26247,0.401961,-0.378195,0.401961,-0.265502,0.401961,All
-0.131502,0.403922,-0.272498,0.403922,-0.258986,0.403922,-0.375223,0.403922,-0.260984,0.403922,All
-0.125871,0.405882,-0.269954,0.405882,-0.258707,0.405882,-0.367125,0.405882,-0.258017,0.405882,All
-0.124089,0.407843,-0.265467,0.407843,-0.252044,0.407843,-0.365983,0.407843,-0.247831,0.407843,All
-0.120167,0.409804,-0.258866,0.409804,-0.250495,0.409804,-0.364409,0.409804,-0.246047,0.409804,All
-0.118258,0.411765,-0.248048,0.411765,-0.248445,0.411765,-0.361358,0.411765,-0.239829,0.411765,All
-0.107262,0.413725,-0.24577,0.413725,-0.246844,0.413725,-0.360318,0.413725,-0.237946,0.413725,All
-0.104737,0.415686,-0.240603,0.415686,-0.246434,0.415686,-0.355005,0.415686,-0.236408,0.415686,All
-0.101193,0.417647,-0.239785,0.417647,-0.245498,0.417647,-0.351498,0.417647,-0.230659,0.417647,All
-0.100629,0.419608,-0.235811,0.419608,-0.230737,0.419608,-0.350012,0.419608,-0.230279,0.419608,All
-0.0984472,0.421569,-0.234369,0.421569,-0.221927,0.421569,-0.346851,0.421569,-0.225818,0.421569,All
-0.0977279,0.423529,-0.234299,0.423529,-0.218464,0.423529,-0.34485,0.423529,-0.225122,0.423529,All
-0.0974751,0.42549,-0.234252,0.42549,-0.216979,0.42549,-0.34261,0.42549,-0.224286,0.42549,All
-0.0968706,0.427451,-0.234084,0.427451,-0.213406,0.427451,-0.339922,0.427451,-0.219692,0.427451,All
-0.0963917,0.429412,-0.232481,0.429412,-0.201262,0.429412,-0.335837,0.429412,-0.195348,0.429412,All
-0.0956095,0.431373,-0.224249,0.431373,-0.199606,0.431373,-0.335598,0.431373,-0.194664,0.431373,All
-0.088818,0.433333,-0.209261,0.433333,-0.199175,0.433333,-0.327973,0.433333,-0.192952,0.433333,All
-0.08284,0.435294,-0.207538,0.435294,-0.191608,0.435294,-0.324872,0.435294,-0.189712,0.435294,All
-0.0782344,0.437255,-0.192823,0.437255,-0.189299,0.437255,-0.321514,0.437255,-0.187219,0.437255,All
-0.0739383,0.439216,-0.192521,0.439216,-0.184103,0.439216,-0.304808,0.439216,-0.184737,0.439216,All
-0.0615298,0.441176,-0.186491,0.441176,-0.180379,0.441176,-0.298385,0.441176,-0.183621,0.441176,All
-0.0572456,0.443137,-0.182011,0.443137,-0.179535,0.443137,-0.294426,0.443137,-0.181581,0.443137,All
-0.04619,0.445098,-0.164711,0.445098,-0.178086,0.445098,-0.289031,0.445098,-0.176395,0.445098,All
-0.041775,0.447059,-0.159217,0.447059,-0.165803,0.447059,-0.288514,0.447059,-0.168009,0.447059,All
-0.0391425,0.44902,-0.157749,0.44902,-0.159228,0.44902,-0.272297,0.44902,-0.163003,0.44902,All
-0.0373489,0.45098,-0.156936,0.45098,-0.155542,0.45098,-0.270125,0.45098,-0.146837,0.45098,All
-0.029087,0.452941,-0.155391,0.452941,-0.155024,0.452941,-0.265109,0.452941,-0.137215,0.452941,All
-0.00970913,0.454902,-0.152361,0.454902,-0.154677,0.454902,-0.263231,0.454902,-0.122764,0.454902,All
-0.00515135,0.456863,-0.152319,0.456863,-0.146132,0.456863,-0.256586,0.456863,-0.119779,0.456863,All
