initT_abscissa,initT_cdf,dS_abscissa,dS_cdf,lBt0_abscissa,lBt0_cdf,lw_abscissa,lw_cdf,lI50_abscissa,lI50_cdf,split
-2.95214,0.286275,0.0494984,0.286275,-4.6894,0.286275,0.546981,0.286275,-1.08734,0.286275,All
-2.9515,0.288235,0.049509,0.288235,-4.68927,0.288235,0.548515,0.288235,-1.08727,0.288235,All
-2.94426,0.290196,0.0495378,0.290196,-4.68903,0.290196,0.549515,0.290196,-1.08699,0.290196,All
-2.94361,0.292157,0.049571,0.292157,-4.68852,0.292157,0.549572,0.292157,-1.08686,0.292157,All
-2.94225,0.294118,0.049595,0.294118,-4.68812,0.294118,0.550824,0.294118,-1.08673,0.294118,All
-2.94218,0.296078,0.0496055,0.296078,-4.6877,0.296078,0.551506,0.296078,-1.0864,0.296078,All
-2.94156,0.298039,0.0496128,0.298039,-4.68734,0.298039,0.551583,0.298039,-1.08578,0.298039,All
-2.93782,0.3,0.0496189,0.3,-4.68715,0.3,0.551718,0.3,-1.08537,0.3,All
-2.93693,0.301961,0.0496623,0.301961,-4.68672,0.301961,0.55218,0.301961,-1.08494,0.301961,All
-2.93624,0.303922,0.0496785,0.303922,-4.6858,0.303922,0.552312,0.303922,-1.08474,0.303922,All
-2.9343,0.305882,0.0496834,0.305882,-4.68515,0.305882,0.553509,0.305882,-1.08451,0.305882,All
-2.9335,0.307843,0.0497364,0.307843,-4.68508,0.307843,0.553793,0.307843,-1.08384,0.307843,All
-2.93203,0.309804,0.0498107,0.309804,-4.68486,0.309804,0.554031,0.309804,-1.08368,0.309804,All
-2.92876,0.311765,0.0498195,0.311765,-4.68485,0.311765,0.554158,0.311765,-1.0835,0.311765,All
-2.92787,0.313725,0.0498511,0.313725,-4.68465,0.313725,0.555098,0.313725,-1.08302,0.313725,All
-2.92573,0.315686,0.0498627,0.315686,-4.68459,0.315686,0.555888,0.315686,-1.08295,0.315686,All
-2.92498,0.317647,0.0498645,0.317647,-4.68431,0.317647,0.556725,0.317647,-1.08253,0.317647,All
-2.92391,0.319608,0.0498796,0.319608,-4.6843,0.319608,0.557203,0.319608,-1.08248,0.319608,All
-2.923,0.321569,0.0498908,0.321569,-4.68405,0.321569,0.55794,0.321569,-1.08221,0.321569,All
-2.92203,0.323529,0.0499314,0.323529,-4.68364,0.323529,0.558483,0.323529,-1.08174,0.323529,All
-2.92023,0.32549,0.0499996,0.32549,-4.6831,0.32549,0.559158,0.32549,-1.08166,0.32549,All
-2.91772,0.327451,0.0500141,0.327451,-4.68284,0.327451,0.560436,0.327451,-1.08159,0.327451,All
-2.91591,0.329412,0.0500737,0.329412,-4.68272,0.329412,0.560973,0.329412,-1.08154,0.329412,All
-2.91132,0.331373,0.0500753,0.331373,-4.68256,0.331373,0.563721,0.331373,-1.08084,0.331373,All
-2.90834,0.333333,0.0500927,0.333333,-4.68251,0.333333,0.564374,0.333333,-1.08075,0.333333,All
-2.90781,0.335294,0.0501044,0.335294,-4.68249,0.335294,0.565622,0.335294,-1.08047,0.335294,All
-2.9077,0.337255,0.0501797,0.337255,-4.68247,0.337255,0.566023,0.337255,-1.08045,0.337255,All
-2.90658,0.339216,0.0501834,0.339216,-4.68189,0.339216,0.566751,0.339216,-1.0804,0.339216,All
-2.90153,0.341176,0.050204,0.341176,-4.68181,0.341176,0.567869,0.341176,-1.08001,0.341176,All
-2.89988,0.343137,0.0502415,0.343137,-4.68117,0.343137,0.568275,0.343137,-1.07982,0.343137,All
-2.89795,0.345098,0.0502467,0.345098,-4.68089,0.345098,0.568691,0.345098,-1.07965,0.345098,All
-2.89702,0.347059,0.0502545,0.347059,-4.68076,0.347059,0.568927,0.347059,-1.07941,0.347059,All
-2.89544,0.34902,0.0502549,0.34902,-4.68072,0.34902,0.573173,0.34902,-1.07923,0.34902,All
-2.88596,0.35098,0.0502648,0.35098,-4.68016,0.35098,0.57364,0.35098,-1.07914,0.35098,All
-2.88522,0.352941,0.0502746,0.352941,-4.68003,0.352941,0.574088,0.352941,-1.07887,0.352941,All
-2.88504,0.354902,0.0502999,0.354902,-4.67932,0.354902,0.574501,0.354902,-1.07881,0.354902,All
-2.88095,0.356863,0.050321,0.356863,-4.67922,0.356863,0.577322,0.356863,-1.07868,0.356863,All
-2.87865,0.358824,0.0503322,0.358824,-4.67921,0.358824,0.57788,0.358824,-1.07854,0.358824,All
-2.87751,0.360784,0.0503359,0.360784,-4.67909,0.360784,0.578372,0.360784,-1.07849,0.360784,All
-2.87116,0.362745,0.0503483,0.362745,-4.67876,0.362745,0.580582,0.362745,-1.07812,0.362745,All
-2.87058,0.364706,0.0503484,0.364706,-4.67868,0.364706,0.581045,0.364706,-1.07811,0.364706,All
-2.87056,0.366667,0.0503488,0.366667,-4.67836,0.366667,0.581229,0.366667,-1.07796,0.366667,All
-2.86671,0.368627,0.0503498,0.368627,-4.67825,0.368627,0.581248,0.368627,-1.07792,0.368627,All
-2.86255,0.370588,0.0504161,0.370588,-4.67783,0.370588,0.582058,0.370588,-1.07775,0.370588,All
-2.85681,0.372549,0.0504224,0.372549,-4.67772,0.372549,0.5825,0.372549,-1.07775,0.372549,All
-2.85671,0.37451,0.050434,0.37451,-4.67748,0.37451,0.583526,0.37451,-1.07772,0.37451,All
-2.85384,0.376471,0.0504945,0.376471,-4.67744,0.376471,0.585479,0.376471,-1.07735,0.376471,All
-2.85067,0.378431,0.0505211,0.378431,-4.6771,0.378431,0.585887,0.378431,-1.07729,0.378431,All
-2.84381,0.380392,0.0505244,0.380392,-4.67678,0.380392,0.586656,0.380392,-1.07719,0.380392,All
-2.84274,0.382353,0.0505535,0.382353,-4.67597,0.382353,0.588293,0.382353,-1.07714,0.382353,All
-2.83753,0.384314,0.0505662,0.384314,-4.67592,0.384314,0.589068,0.384314,-1.07682,0.384314,All
-2.83513,0.386275,0.0505806,0.386275,-4.67567,0.386275,0.589291,0.386275,-1.07593,0.386275,All
-2.83346,0.388235,0.0505824,0.388235,-4.67543,0.388235,0.590258,0.388235,-1.0759,0.388235,All
-2.833,0.390196,0.0506078,0.390196,-4.67509,0.390196,0.590345,0.390196,-1.07572,0.390196,All
-2.83233,0.392157,0.0506736,0.392157,-4.67453,0.392157,0.590601,0.392157,-1.07552,0.392157,All
-2.82809,0.394118,0.0506953,0.394118,-4.6743,0.394118,0.591011,0.394118,-1.07512,0.394118,All
-2.82371,0.396078,0.0507323,0.396078,-4.6743,0.396078,0.591902,0.396078,-1.0751,0.396078,All
-2.82257,0.398039,0.0507491,0.398039,-4.67428,0.398039,0.592762,0.398039,-1.07503,0.398039,All
-2.8223,0.4,0.0507576,0.4,-4.67417,0.4,0.593404,0.4,-1.07429,0.4,All
-2.82176,0.401961,0.0507593,0.401961,-4.67413,0.401961,0.594681,0.401961,-1.07422,0.401961,All
-2.82006,0.403922,0.0508198,0.403922,-4.67406,0.403922,0.59518,0.403922,-1.07398,0.403922,All
-2.81284,0.405882,0.0508216,0.405882,-4.67387,0.405882,0.597661,0.405882,-1.07372,0.405882,All
-2.8122,0.407843,0.050823,0.407843,-4.67379,0.407843,0.59866,0.407843,-1.07304,0.407843,All
-2.80763,0.409804,0.0509041,0.409804,-4.67356,0.409804,0.598883,0.409804,-1.07274,0.409804,All
-2.80697,0.411765,0.0509054,0.411765,-4.67346,0.411765,0.599065,0.411765,-1.07254,0.411765,All
-2.80206,0.413725,0.0509308,0.413725,-4.67311,0.413725,0.5997,0.413725,-1.07248,0.413725,All
-2.79756,0.415686,0.0509393,0.415686,-4.6731,0.415686,0.600227,0.415686,-1.07238,0.415686,All
