iteration,convergenceIndicator,phase,a,aS_pop,dI_pop,dS_pop,initT_pop,lBt0_pop,n_pop,omega_dI,omega_dS,omega_initT,omega_lBt0,omega_n
128,1134.43,1,0.367067,1.57679,2.28286,0.000984385,-10.8538,-4.60296,0.0894018,0.808234,0.600036,3.99415,0.298579,0.634879
129,1120.9,1,0.360041,1.57008,2.25125,0.000995118,-10.8243,-4.60151,0.0907413,0.817557,0.612183,4.15799,0.303024,0.652505
130,1134.41,1,0.362196,1.56932,2.25911,0.00100234,-11.0657,-4.59921,0.0906649,0.831966,0.616732,4.2267,0.302078,0.666448
131,1134.72,1,0.364323,1.56932,2.31066,0.000970493,-10.9429,-4.6066,0.0898647,0.810901,0.616008,4.24587,0.306554,0.649573
132,1131.87,1,0.363935,1.5698,2.28744,0.00097648,-10.961,-4.60339,0.0897087,0.806982,0.608513,4.13836,0.30435,0.649924
133,1146.37,1,0.36914,1.57645,2.23686,0.000987881,-10.9915,-4.60797,0.0882662,0.820804,0.603924,4.03358,0.303116,0.637215
134,1138.88,1,0.367277,1.57575,2.26476,0.000985872,-11.0652,-4.61276,0.0868911,0.810524,0.589851,4.08732,0.302132,0.644332
135,1139.42,1,0.370262,1.57109,2.2721,0.000993498,-11.1129,-4.61409,0.0887397,0.790434,0.587968,3.98383,0.303611,0.628017
136,1145,1,0.371247,1.57626,2.26193,0.000985891,-11.0349,-4.61815,0.0892788,0.782191,0.587609,4.0908,0.298489,0.62631
137,1148.79,1,0.372283,1.57773,2.23261,0.000977591,-10.9294,-4.61845,0.0911707,0.786065,0.592095,3.98722,0.29426,0.6496
138,1151.74,1,0.370011,1.57657,2.31781,0.000934987,-11.1566,-4.62072,0.0891032,0.793109,0.585504,4.26699,0.301966,0.65755
139,1151.32,1,0.370292,1.57636,2.32229,0.000927201,-11.1938,-4.62235,0.0879227,0.79046,0.585841,4.3278,0.29432,0.661681
140,1147.07,1,0.370794,1.58138,2.34887,0.000931518,-11.0167,-4.61873,0.0882968,0.770661,0.595741,4.21822,0.298636,0.652951
