initT_abscissa,initT_cdf,aS_abscissa,aS_cdf,dS_abscissa,dS_cdf,lBt0_abscissa,lBt0_cdf,lk_abscissa,lk_cdf,lae_abscissa,lae_cdf,lw_abscissa,lw_cdf,dE_abscissa,dE_cdf,split
-13.6666,0.201961,13.2572,0.2,0.0120636,0.2,-4.74675,0.2,-4.39793,0.201961,0.93072,0.2,1.09288,0.201961,0.045558,0.201961,All
-13.6617,0.203922,13.2581,0.201961,0.0120651,0.201961,-4.74671,0.201961,-4.39531,0.203922,0.933491,0.201961,1.09436,0.203922,0.0456275,0.203922,All
-13.6522,0.205882,13.2602,0.203922,0.0120674,0.203922,-4.74664,0.203922,-4.3876,0.205882,0.936956,0.203922,1.10153,0.205882,0.0466172,0.205882,All
-13.5948,0.207843,13.2605,0.205882,0.0120717,0.205882,-4.74657,0.205882,-4.38714,0.207843,0.937629,0.205882,1.10206,0.207843,0.0468019,0.207843,All
-13.5918,0.209804,13.2636,0.207843,0.0120754,0.207843,-4.74652,0.207843,-4.38356,0.209804,0.938958,0.207843,1.10652,0.209804,0.046897,0.209804,All
-13.5704,0.211765,13.2647,0.209804,0.0120766,0.209804,-4.74652,0.209804,-4.38351,0.211765,0.939201,0.209804,1.10684,0.211765,0.0470991,0.211765,All
-13.5557,0.213725,13.2661,0.211765,0.0120778,0.211765,-4.74641,0.211765,-4.37009,0.213725,0.939457,0.211765,1.10735,0.213725,0.0474713,0.213725,All
-13.4817,0.215686,13.2697,0.213725,0.0120783,0.213725,-4.7464,0.213725,-4.35579,0.215686,0.939759,0.213725,1.10966,0.215686,0.0474743,0.215686,All
-13.4786,0.217647,13.27,0.215686,0.0120783,0.215686,-4.74629,0.215686,-4.34772,0.217647,0.939971,0.215686,1.11452,0.217647,0.0476714,0.217647,All
-13.4772,0.219608,13.2702,0.217647,0.0120849,0.217647,-4.74622,0.217647,-4.34252,0.219608,0.943805,0.217647,1.11808,0.219608,0.0481856,0.219608,All
-13.4695,0.221569,13.2708,0.219608,0.0120874,0.219608,-4.74602,0.219608,-4.33981,0.221569,0.944624,0.219608,1.12122,0.221569,0.0482426,0.221569,All
-13.378,0.223529,13.2764,0.221569,0.0120892,0.221569,-4.74587,0.221569,-4.33956,0.223529,0.945302,0.221569,1.12688,0.223529,0.0485173,0.223529,All
-13.3483,0.22549,13.2765,0.223529,0.0120899,0.223529,-4.74577,0.223529,-4.33842,0.22549,0.946993,0.223529,1.12775,0.22549,0.0487173,0.22549,All
-13.3369,0.227451,13.2773,0.22549,0.012092,0.22549,-4.74575,0.22549,-4.33751,0.227451,0.947151,0.22549,1.14382,0.227451,0.049531,0.227451,All
-13.3323,0.229412,13.2775,0.227451,0.0121012,0.227451,-4.74573,0.227451,-4.33749,0.229412,0.947621,0.227451,1.16019,0.229412,0.0496478,0.229412,All
-13.3172,0.231373,13.2816,0.229412,0.0121013,0.229412,-4.74563,0.229412,-4.33595,0.231373,0.94769,0.229412,1.16837,0.231373,0.0499135,0.231373,All
-13.2901,0.233333,13.2837,0.231373,0.0121034,0.231373,-4.74556,0.231373,-4.33529,0.233333,0.948386,0.231373,1.17212,0.233333,0.0509589,0.233333,All
-13.2725,0.235294,13.2837,0.233333,0.0121065,0.233333,-4.74552,0.233333,-4.33317,0.235294,0.951576,0.233333,1.17866,0.235294,0.0511508,0.235294,All
-13.2563,0.237255,13.2877,0.235294,0.0121135,0.235294,-4.7455,0.235294,-4.33033,0.237255,0.951869,0.235294,1.17963,0.237255,0.0512494,0.237255,All
-13.2488,0.239216,13.2887,0.237255,0.012114,0.237255,-4.74546,0.237255,-4.32873,0.239216,0.956919,0.237255,1.17979,0.239216,0.0513667,0.239216,All
-13.2253,0.241176,13.2888,0.239216,0.0121174,0.239216,-4.74543,0.239216,-4.32747,0.241176,0.957683,0.239216,1.18052,0.241176,0.0525653,0.241176,All
-13.1769,0.243137,13.2889,0.241176,0.0121204,0.241176,-4.7454,0.241176,-4.32718,0.243137,0.957871,0.241176,1.18076,0.243137,0.0536182,0.243137,All
-13.1769,0.245098,13.2891,0.243137,0.0121217,0.243137,-4.74539,0.243137,-4.32484,0.245098,0.958587,0.243137,1.18485,0.245098,0.0542637,0.245098,All
-13.1465,0.247059,13.2925,0.245098,0.0121249,0.245098,-4.74538,0.245098,-4.32479,0.247059,0.959457,0.245098,1.18998,0.247059,0.0547815,0.247059,All
-13.1394,0.24902,13.293,0.247059,0.0121296,0.247059,-4.74528,0.247059,-4.32243,0.24902,0.959541,0.247059,1.19511,0.24902,0.0548702,0.24902,All
-13.1388,0.25098,13.294,0.24902,0.0121361,0.24902,-4.74525,0.24902,-4.31923,0.25098,0.959632,0.24902,1.19796,0.25098,0.0553724,0.25098,All
-13.0873,0.252941,13.2953,0.25098,0.0121374,0.25098,-4.74524,0.25098,-4.31922,0.252941,0.961744,0.25098,1.20189,0.252941,0.0557686,0.252941,All
-13.0786,0.254902,13.2954,0.252941,0.0121375,0.252941,-4.74518,0.252941,-4.31675,0.254902,0.961969,0.252941,1.20423,0.254902,0.0562165,0.254902,All
-13.0526,0.256863,13.2956,0.254902,0.0121394,0.254902,-4.74517,0.254902,-4.31531,0.256863,0.962047,0.254902,1.20534,0.256863,0.0562342,0.256863,All
-13.0477,0.258824,13.2962,0.256863,0.0121413,0.256863,-4.74515,0.256863,-4.31148,0.258824,0.963791,0.256863,1.20837,0.258824,0.0563592,0.258824,All
-13.038,0.260784,13.2979,0.258824,0.012148,0.258824,-4.74513,0.258824,-4.31023,0.260784,0.965138,0.258824,1.21032,0.260784,0.0572479,0.260784,All
-13.0275,0.262745,13.2991,0.260784,0.0121489,0.260784,-4.74507,0.260784,-4.3077,0.262745,0.965617,0.260784,1.21565,0.262745,0.0573121,0.262745,All
-13.0129,0.264706,13.2996,0.262745,0.012149,0.262745,-4.74503,0.262745,-4.30646,0.264706,0.967317,0.262745,1.22049,0.264706,0.0577093,0.264706,All
-12.9707,0.266667,13.3,0.264706,0.0121552,0.264706,-4.74497,0.264706,-4.30424,0.266667,0.967485,0.264706,1.22182,0.266667,0.0579044,0.266667,All
-12.9624,0.268627,13.301,0.266667,0.0121582,0.266667,-4.74473,0.266667,-4.301,0.268627,0.968713,0.266667,1.22424,0.268627,0.0603069,0.268627,All
-12.9207,0.270588,13.3032,0.268627,0.0121586,0.268627,-4.74471,0.268627,-4.29806,0.270588,0.969743,0.268627,1.23428,0.270588,0.0618201,0.270588,All
-12.9137,0.272549,13.3042,0.270588,0.0121588,0.270588,-4.74471,0.270588,-4.29532,0.272549,0.970023,0.270588,1.23808,0.272549,0.0620084,0.272549,All
-12.8603,0.27451,13.3057,0.272549,0.0121596,0.272549,-4.74468,0.272549,-4.29384,0.27451,0.970234,0.272549,1.23816,0.27451,0.0620132,0.27451,All
-12.8565,0.276471,13.306,0.27451,0.0121599,0.27451,-4.74465,0.27451,-4.28527,0.276471,0.970595,0.27451,1.23932,0.276471,0.0627326,0.276471,All
-12.8292,0.278431,13.3085,0.276471,0.0121631,0.276471,-4.74461,0.276471,-4.28183,0.278431,0.971396,0.276471,1.2397,0.278431,0.0628134,0.278431,All
-12.8124,0.280392,13.3091,0.278431,0.012165,0.278431,-4.7446,0.278431,-4.27937,0.280392,0.971769,0.278431,1.24023,0.280392,0.0636451,0.280392,All
-12.8107,0.282353,13.3099,0.280392,0.0121703,0.280392,-4.74455,0.280392,-4.27802,0.282353,0.973331,0.280392,1.24414,0.282353,0.0639855,0.282353,All
-12.8013,0.284314,13.3109,0.282353,0.0121715,0.282353,-4.74454,0.282353,-4.26921,0.284314,0.973973,0.282353,1.24713,0.284314,0.0647349,0.284314,All
-12.7881,0.286275,13.3115,0.284314,0.0121717,0.284314,-4.74453,0.284314,-4.26805,0.286275,0.974918,0.284314,1.25007,0.286275,0.0653326,0.286275,All
-12.7834,0.288235,13.3126,0.286275,0.0121733,0.286275,-4.74448,0.286275,-4.26753,0.288235,0.978222,0.286275,1.25036,0.288235,0.0660376,0.288235,All
-12.7568,0.290196,13.3126,0.288235,0.0121742,0.288235,-4.74432,0.288235,-4.26595,0.290196,0.979325,0.288235,1.25131,0.290196,0.0661583,0.290196,All
-12.7297,0.292157,13.3142,0.290196,0.0121742,0.290196,-4.74431,0.290196,-4.2644,0.292157,0.981548,0.290196,1.25152,0.292157,0.0672161,0.292157,All
-12.6766,0.294118,13.3149,0.292157,0.0121749,0.292157,-4.7443,0.292157,-4.26328,0.294118,0.981966,0.292157,1.25252,0.294118,0.0672233,0.294118,All
