initT_abscissa,initT_pdf,initT_cdf,aS_abscissa,aS_pdf,aS_cdf,dS_abscissa,dS_pdf,dS_cdf,lBt0_abscissa,lBt0_pdf,lBt0_cdf,lk_abscissa,lk_pdf,lk_cdf,lae_abscissa,lae_pdf,lae_cdf,lw_abscissa,lw_pdf,lw_cdf,dE_abscissa,dE_pdf,dE_cdf,split
-13.5997,0.0875761,0.208321,13.2519,1.40595,0.214456,0.0123645,1045.58,0.494295,-4.7694,0.026658,4.80587e-05,-4.24,0.680464,0.291665,0.898388,1.77541,0.197423,1.31326,0.59892,0.286739,3.10456,0.00846657,0.986548,All
-13.3786,0.0923015,0.228209,13.3191,1.71411,0.319787,0.0124523,1014.62,0.585069,-4.76599,0.143653,0.000289416,-4.21108,0.701052,0.311646,0.91405,1.92359,0.226398,1.34721,0.618293,0.307406,3.17989,0.00793705,0.987165,All
-13.1575,0.0968396,0.249123,13.3862,1.88266,0.441504,0.01254,934.911,0.670918,-4.76257,0.627147,0.00142953,-4.18216,0.719892,0.332198,0.929712,2.06336,0.257633,1.38116,0.63602,0.328702,3.25522,0.00744949,0.987744,All
-12.9364,0.101139,0.271014,13.4534,1.86573,0.568428,0.0126278,818.896,0.748072,-4.75915,2.21813,0.00580714,-4.15324,0.736813,0.353267,0.945374,2.19122,0.290968,1.41511,0.651927,0.35057,3.33055,0.00699989,0.988288,All
-12.7153,0.105149,0.293825,13.5205,1.67084,0.688044,0.0127155,682.554,0.814032,-4.75574,6.35575,0.0194707,-4.12432,0.751656,0.374796,0.961036,2.3038,0.32619,1.44906,0.665852,0.372945,3.40588,0.00658464,0.9888,All
-12.4942,0.108821,0.317486,13.5877,1.3542,0.790074,0.0128032,541.927,0.867731,-4.75232,14.7541,0.0541413,-4.0954,0.764281,0.396722,0.976698,2.39801,0.363036,1.48301,0.677654,0.395757,3.48121,0.00620058,0.989281,All
-12.2731,0.112109,0.341918,13.6548,0.994797,0.868959,0.012891,410.277,0.909402,-4.7489,27.7472,0.125667,-4.06648,0.774567,0.41898,0.99236,2.47119,0.401195,1.51696,0.68721,0.418932,3.55653,0.00584486,0.989735,All
-12.052,0.114971,0.36703,13.7219,0.663314,0.92432,0.0129787,296.462,0.940257,-4.74549,42.2758,0.245642,-4.03756,0.782416,0.4415,1.00802,2.52122,0.440322,1.55091,0.69442,0.442392,3.63186,0.00551495,0.990162,All
-11.8309,0.117371,0.392724,13.7891,0.402028,0.959636,0.0130665,204.66,0.962076,-4.74207,52.1829,0.40927,-4.00864,0.78775,0.464211,1.02368,2.54661,0.480041,1.58486,0.699207,0.466055,3.70719,0.00520858,0.990566,All
-11.6098,0.119275,0.418894,13.8562,0.221796,0.980142,0.0131542,135.105,0.976826,-4.73865,52.1829,0.59073,-3.97972,0.790517,0.48704,1.03935,2.54661,0.519959,1.61881,0.701521,0.489839,3.78252,0.00492373,0.990948,All
-11.3887,0.12066,0.445429,13.9234,0.111534,0.990995,0.013242,85.3646,0.986367,-4.73524,42.2758,0.754358,-3.9508,0.790691,0.50991,1.05501,2.52122,0.559678,1.65276,0.701338,0.51366,3.85785,0.00465855,0.991308,All
-11.1676,0.121506,0.472211,13.9905,0.0511924,0.996237,0.0133297,51.67,0.992277,-4.73182,27.7472,0.874333,-3.92188,0.788268,0.532749,1.07067,2.47119,0.598805,1.68671,0.698658,0.537432,3.93318,0.00441141,0.99165,All
-10.9465,0.121801,0.499118,14.0577,0.0214745,0.998551,0.0134175,29.9867,0.995785,-4.7284,14.7541,0.945859,-3.89295,0.783274,0.55548,1.08633,2.39801,0.636964,1.72066,0.693511,0.56107,4.00851,0.00418082,0.991973,All
-10.7254,0.121542,0.52603,14.1248,0.00824376,0.999486,0.0135052,16.6999,0.997784,-4.72499,6.35575,0.980529,-3.86403,0.775757,0.57803,1.10199,2.3038,0.67381,1.75461,0.685951,0.584493,4.08383,0.00396544,0.99228,All
-10.5043,0.120732,0.552824,14.192,0.00289981,0.999832,0.0135929,8.93202,0.998877,-4.72157,2.21813,0.994193,-3.83511,0.76579,0.600327,1.11766,2.19122,0.709032,1.78856,0.676058,0.607619,4.15916,0.00376405,0.992571,All
-10.2832,0.119382,0.579378,14.2591,0.000935838,0.999949,0.0136807,4.59185,0.999451,-4.71815,0.627147,0.99857,-3.80619,0.753471,0.622301,1.13332,2.06336,0.742367,1.82251,0.663936,0.630372,4.23449,0.00357556,0.992848,All
-10.0621,0.117511,0.605576,14.3263,0.000277432,0.999986,0.0137684,2.27075,0.999741,-4.71473,0.143653,0.999711,-3.77727,0.738916,0.643886,1.14898,1.92359,0.773602,1.85646,0.64971,0.652676,4.30982,0.00339897,0.99311,All
-9.841,0.115143,0.631305,14.3934,7.56424e-05,0.999996,0.0138562,1.08099,0.999882,-4.71132,0.026658,0.999952,-3.74835,0.722264,0.66502,1.16464,1.77541,0.802577,1.89041,0.633525,0.674464,4.38515,0.00323336,0.99336,All
-9.6199,0.11231,0.656458,14.4606,1.89909e-05,0.999999,0.0139439,0.495767,0.999948,-4.7079,0.00400776,0.999993,-3.71943,0.70367,0.685644,1.1803,1.6223,0.829189,1.92436,0.615545,0.695672,4.46048,0.00307792,0.993598,All
-9.3988,0.109048,0.680937,14.5277,4.39547e-06,1,0.0140317,0.219204,0.999978,-4.70448,0.000488135,0.999999,-3.69051,0.683305,0.705704,1.19596,1.46762,0.853386,1.95831,0.595945,0.716241,4.5358,0.00293189,0.993824,All
-9.1777,0.1054,0.704651,14.5949,9.38961e-07,1,0.0141194,0.0935077,0.999991,-4.70107,4.81662e-05,1,-3.66159,0.661351,0.725152,1.21163,1.31445,0.875169,1.99225,0.574916,0.73612,4.61113,0.00279458,0.99404,All
-8.9566,0.101411,0.72752,14.662,1.85338e-07,1,0.0142072,0.0385101,0.999996,-4.69765,3.85042e-06,1,-3.63267,0.638002,0.743944,1.22729,1.16553,0.894582,2.0262,0.552655,0.755264,4.68646,0.00266536,0.994245,All
-8.7355,0.097129,0.749473,14.7292,3.38406e-08,1,0.0142949,0.0153224,0.999999,-4.69423,2.49367e-07,1,-3.60375,0.613457,0.762043,1.24295,1.02318,0.911712,2.06015,0.529364,0.773633,4.76179,0.00254366,0.994441,All
-8.5144,0.0926049,0.770452,14.7963,5.722e-09,1,0.0143827,0.0058938,0.999999,-4.69082,1.30838e-08,1,-3.57483,0.58792,0.779417,1.25861,0.889254,0.926676,2.0941,0.50525,0.791198,4.83712,0.00242895,0.994629,All
-8.2933,0.0878902,0.790409,14.8635,8.96933e-10,1,0.0144704,0.00219311,1,-4.6874,5.56148e-10,1,-3.54591,0.561597,0.796041,1.27427,0.765155,0.939618,2.12805,0.480517,0.807932,4.91245,0.00232073,0.994807,All
-8.0722,0.0830362,0.809307,14.9306,1.30477e-10,1,0.0145581,0.000789947,1,-4.68398,1.91519e-11,1,-3.51699,0.534692,0.811895,1.28994,0.65181,0.9507,2.162,0.455368,0.82382,4.98777,0.00221858,0.994978,All
-7.8511,0.0780937,0.827121,14.9978,1.7633e-11,1,0.0146459,0.0002756,1,-4.68057,5.34315e-13,1,-3.48807,0.507405,0.826964,1.3056,0.549719,0.960094,2.19595,0.43,0.838849,5.0631,0.00212208,0.995142,All
-7.63,0.0731114,0.843837,15.0649,2.21603e-12,1,0.0147336,9.31895e-05,1,-4.67715,1.20766e-14,1,-3.45915,0.47993,0.841242,1.32126,0.458996,0.967978,2.2299,0.404599,0.853016,5.13843,0.00203085,0.995298,All
-7.4089,0.0681358,0.859451,15.1321,2.59253e-13,1,0.0148214,3.05577e-05,1,-4.67373,2.21136e-16,1,-3.43023,0.452453,0.854724,1.33692,0.379424,0.97453,2.26385,0.379343,0.866323,5.21376,0.00194454,0.995448,All
-7.1878,0.0632101,0.87397,15.1992,2.8262e-14,1,0.0149091,9.72279e-06,1,-4.67032,3.28047e-18,1,-3.40131,0.425149,0.867414,1.35258,0.31052,0.979919,2.2978,0.354398,0.878777,5.28909,0.00186283,0.995591,All
-6.9667,0.0583739,0.88741,15.2664,2.87364e-15,1,0.0149969,3.00349e-06,1,-4.6669,3.94255e-20,1,-3.37239,0.398182,0.879318,1.36825,0.251595,0.984309,2.33175,0.329914,0.890391,5.36442,0.00178544,0.995729,All
-6.7456,0.0536627,0.899793,15.3335,2.72791e-16,1,0.0150846,9.01294e-07,1,-4.66348,3.83868e-22,1,-3.34347,0.371701,0.89045,1.38391,0.20182,0.987848,2.3657,0.306029,0.901184,5.43975,0.00171208,0.99586,All
-6.5245,0.0491073,0.911151,15.4007,2.41996e-17,1,0.0151724,2.62875e-07,1,-4.66007,3.02796e-24,1,-3.31455,0.345843,0.900824,1.39957,0.160278,0.990673,2.39965,0.282862,0.911179,5.51507,0.00164249,0.995987,All
-6.3034,0.0447344,0.921521,15.4678,2.00801e-18,1,0.0152601,7.45598e-08,1,-4.65665,1.93501e-26,1,-3.28563,0.320727,0.910461,1.41523,0.126017,0.992906,2.4336,0.260518,0.9204,5.5904,0.00157646,0.996108,All
-6.0823,0.0405656,0.930947,15.535,1.55992e-19,1,0.0153479,2.05759e-08,1,-4.65323,1.00179e-28,1,-3.25671,0.296459,0.919383,1.43089,0.0980925,0.994654,2.46755,0.239085,0.928878,5.66573,0.00151375,0.996224,All
