initT_abscissa,initT_cdf,dS_abscissa,dS_cdf,lBt0_abscissa,lBt0_cdf,dI_abscissa,dI_cdf,n_abscissa,n_cdf,split
-0.162988,0.416327,-0.423825,0.416327,-0.183755,0.416327,-0.336659,0.416327,-0.217598,0.416327,All
-0.149752,0.418367,-0.417444,0.418367,-0.158939,0.418367,-0.332949,0.418367,-0.2077,0.418367,All
-0.14672,0.420408,-0.408146,0.420408,-0.153211,0.420408,-0.323139,0.420408,-0.181217,0.420408,All
-0.142734,0.422449,-0.401194,0.422449,-0.130977,0.422449,-0.317976,0.422449,-0.177686,0.422449,All
-0.137803,0.42449,-0.40031,0.42449,-0.1167,0.42449,-0.315952,0.42449,-0.174059,0.42449,All
-0.134409,0.426531,-0.398849,0.426531,-0.116031,0.426531,-0.310503,0.426531,-0.171804,0.426531,All
-0.133766,0.428571,-0.395805,0.428571,-0.108734,0.428571,-0.270771,0.428571,-0.17082,0.428571,All
-0.13265,0.430612,-0.39534,0.430612,-0.107699,0.430612,-0.267506,0.430612,-0.153321,0.430612,All
-0.132031,0.432653,-0.392835,0.432653,-0.105969,0.432653,-0.265042,0.432653,-0.145062,0.432653,All
-0.118135,0.434694,-0.38436,0.434694,-0.104395,0.434694,-0.217451,0.434694,-0.142967,0.434694,All
-0.112419,0.436735,-0.367937,0.436735,-0.101235,0.436735,-0.216207,0.436735,-0.137415,0.436735,All
-0.0905832,0.438776,-0.358922,0.438776,-0.100855,0.438776,-0.213409,0.438776,-0.127638,0.438776,All
-0.0859129,0.440816,-0.349304,0.440816,-0.0983207,0.440816,-0.205062,0.440816,-0.125413,0.440816,All
-0.0818173,0.442857,-0.345777,0.442857,-0.0978386,0.442857,-0.198739,0.442857,-0.0936463,0.442857,All
-0.0797134,0.444898,-0.345259,0.444898,-0.0970058,0.444898,-0.197969,0.444898,-0.0870929,0.444898,All
-0.0795317,0.446939,-0.341118,0.446939,-0.0931527,0.446939,-0.185396,0.446939,-0.0751962,0.446939,All
-0.0713356,0.44898,-0.336561,0.44898,-0.0915437,0.44898,-0.183239,0.44898,-0.0733287,0.44898,All
-0.0712662,0.45102,-0.323209,0.45102,-0.0809333,0.45102,-0.176907,0.45102,-0.0682038,0.45102,All
-0.0633272,0.453061,-0.289599,0.453061,-0.0802812,0.453061,-0.172327,0.453061,-0.0653924,0.453061,All
-0.0553741,0.455102,-0.283284,0.455102,-0.0788494,0.455102,-0.172317,0.455102,-0.060746,0.455102,All
-0.0458521,0.457143,-0.281071,0.457143,-0.0783496,0.457143,-0.16948,0.457143,-0.0395397,0.457143,All
-0.0408367,0.459184,-0.277414,0.459184,-0.0767721,0.459184,-0.16727,0.459184,-0.0380166,0.459184,All
-0.0296069,0.461224,-0.270175,0.461224,-0.0743658,0.461224,-0.164961,0.461224,-0.0317721,0.461224,All
-0.0207494,0.463265,-0.268594,0.463265,-0.0741991,0.463265,-0.160541,0.463265,-0.0267176,0.463265,All
-0.0155851,0.465306,-0.26101,0.465306,-0.0730962,0.465306,-0.150392,0.465306,-0.0188592,0.465306,All
