initT_abscissa,initT_cdf,aS_abscissa,aS_cdf,dS_abscissa,dS_cdf,lBt0_abscissa,lBt0_cdf,dI_abscissa,dI_cdf,w_abscissa,w_cdf,split
-0.756805,0.203922,-0.746189,0.201961,-0.86797,0.201961,-0.875299,0.201961,-0.963971,0.201961,-0.843051,0.201961,All
-0.726391,0.205882,-0.745063,0.203922,-0.833843,0.203922,-0.871481,0.203922,-0.960838,0.203922,-0.842215,0.203922,All
-0.725424,0.207843,-0.74479,0.205882,-0.827295,0.205882,-0.868474,0.205882,-0.953798,0.205882,-0.841661,0.205882,All
-0.724638,0.209804,-0.741642,0.207843,-0.8235,0.207843,-0.856529,0.207843,-0.935362,0.207843,-0.840738,0.207843,All
-0.700254,0.211765,-0.73083,0.209804,-0.81822,0.209804,-0.853964,0.209804,-0.928825,0.209804,-0.835357,0.209804,All
-0.696534,0.213725,-0.729522,0.211765,-0.812511,0.211765,-0.851851,0.211765,-0.926838,0.211765,-0.819296,0.211765,All
-0.693585,0.215686,-0.724384,0.213725,-0.80717,0.213725,-0.848546,0.213725,-0.922339,0.213725,-0.816344,0.213725,All
-0.689258,0.217647,-0.721741,0.215686,-0.802602,0.215686,-0.839474,0.215686,-0.920879,0.215686,-0.813259,0.215686,All
-0.688899,0.219608,-0.717179,0.217647,-0.798707,0.217647,-0.839149,0.217647,-0.91618,0.217647,-0.807311,0.217647,All
-0.685074,0.221569,-0.710757,0.219608,-0.798034,0.219608,-0.826282,0.219608,-0.909689,0.219608,-0.792819,0.219608,All
-0.684692,0.223529,-0.697723,0.221569,-0.797975,0.221569,-0.825161,0.221569,-0.909443,0.221569,-0.765898,0.221569,All
-0.673085,0.22549,-0.691149,0.223529,-0.796476,0.223529,-0.819037,0.223529,-0.904067,0.223529,-0.760674,0.223529,All
-0.66543,0.227451,-0.681754,0.22549,-0.794062,0.22549,-0.794278,0.22549,-0.886527,0.22549,-0.758665,0.22549,All
-0.658676,0.229412,-0.680708,0.227451,-0.792265,0.227451,-0.789356,0.227451,-0.883461,0.227451,-0.747204,0.227451,All
-0.65472,0.231373,-0.677352,0.229412,-0.786047,0.229412,-0.786704,0.229412,-0.870787,0.229412,-0.744093,0.229412,All
-0.654015,0.233333,-0.676954,0.231373,-0.784059,0.231373,-0.772901,0.231373,-0.865521,0.231373,-0.740762,0.231373,All
-0.64587,0.235294,-0.675901,0.233333,-0.777682,0.233333,-0.763049,0.233333,-0.857943,0.233333,-0.739591,0.233333,All
-0.633914,0.237255,-0.674351,0.235294,-0.76229,0.235294,-0.762969,0.235294,-0.856068,0.235294,-0.738548,0.235294,All
-0.628792,0.239216,-0.668134,0.237255,-0.760824,0.237255,-0.758185,0.237255,-0.839441,0.237255,-0.73785,0.237255,All
-0.605565,0.241176,-0.655763,0.239216,-0.751514,0.239216,-0.75365,0.239216,-0.833626,0.239216,-0.734477,0.239216,All
-0.605307,0.243137,-0.65423,0.241176,-0.749368,0.241176,-0.73906,0.241176,-0.830711,0.241176,-0.723158,0.241176,All
-0.598528,0.245098,-0.650357,0.243137,-0.741983,0.243137,-0.726163,0.243137,-0.823441,0.243137,-0.71505,0.243137,All
-0.592269,0.247059,-0.649851,0.245098,-0.73277,0.245098,-0.723038,0.245098,-0.80816,0.245098,-0.711094,0.245098,All
-0.582107,0.24902,-0.645226,0.247059,-0.726738,0.247059,-0.703595,0.247059,-0.803784,0.247059,-0.709469,0.247059,All
-0.576626,0.25098,-0.643752,0.24902,-0.717431,0.24902,-0.702727,0.24902,-0.803285,0.24902,-0.688253,0.24902,All
-0.574523,0.252941,-0.639615,0.25098,-0.705704,0.25098,-0.700449,0.25098,-0.801767,0.25098,-0.687383,0.25098,All
-0.573417,0.254902,-0.636308,0.252941,-0.700346,0.252941,-0.68652,0.252941,-0.794643,0.252941,-0.686677,0.252941,All
-0.572685,0.256863,-0.635424,0.254902,-0.692845,0.254902,-0.676144,0.254902,-0.790283,0.254902,-0.684007,0.254902,All
-0.572262,0.258824,-0.633215,0.256863,-0.688989,0.256863,-0.666772,0.256863,-0.785118,0.256863,-0.678796,0.256863,All
-0.561353,0.260784,-0.62177,0.258824,-0.68821,0.258824,-0.663681,0.258824,-0.783782,0.258824,-0.664313,0.258824,All
-0.560164,0.262745,-0.621569,0.260784,-0.675348,0.260784,-0.663497,0.260784,-0.77302,0.260784,-0.659315,0.260784,All
-0.559812,0.264706,-0.603111,0.262745,-0.667334,0.262745,-0.645334,0.262745,-0.769655,0.262745,-0.656832,0.262745,All
-0.558822,0.266667,-0.598886,0.264706,-0.665958,0.264706,-0.63933,0.264706,-0.763642,0.264706,-0.631279,0.264706,All
-0.558445,0.268627,-0.597654,0.266667,-0.660086,0.266667,-0.638041,0.266667,-0.757279,0.266667,-0.628115,0.266667,All
-0.556154,0.270588,-0.593404,0.268627,-0.655643,0.268627,-0.618984,0.268627,-0.754308,0.268627,-0.613614,0.268627,All
-0.556083,0.272549,-0.589993,0.270588,-0.646618,0.270588,-0.609258,0.270588,-0.748392,0.270588,-0.60821,0.270588,All
-0.55281,0.27451,-0.587953,0.272549,-0.620345,0.272549,-0.604878,0.272549,-0.747898,0.272549,-0.607555,0.272549,All
-0.546988,0.276471,-0.583805,0.27451,-0.600559,0.27451,-0.592086,0.27451,-0.73634,0.27451,-0.598732,0.27451,All
-0.540191,0.278431,-0.569039,0.276471,-0.577214,0.276471,-0.576747,0.276471,-0.734851,0.276471,-0.585078,0.276471,All
-0.53841,0.280392,-0.551847,0.278431,-0.570593,0.278431,-0.575173,0.278431,-0.720596,0.278431,-0.580269,0.278431,All
-0.537998,0.282353,-0.545331,0.280392,-0.567841,0.280392,-0.573403,0.280392,-0.713708,0.280392,-0.571943,0.280392,All
-0.518981,0.284314,-0.538929,0.282353,-0.565423,0.282353,-0.572902,0.282353,-0.703515,0.282353,-0.571412,0.282353,All
-0.50709,0.286275,-0.523875,0.284314,-0.55637,0.284314,-0.570113,0.284314,-0.699539,0.284314,-0.559921,0.284314,All
-0.505013,0.288235,-0.518737,0.286275,-0.555576,0.286275,-0.56929,0.286275,-0.695042,0.286275,-0.556906,0.286275,All
-0.500393,0.290196,-0.517092,0.288235,-0.55329,0.288235,-0.564393,0.288235,-0.690558,0.288235,-0.548917,0.288235,All
-0.497247,0.292157,-0.515497,0.290196,-0.538114,0.290196,-0.54651,0.290196,-0.687532,0.290196,-0.548627,0.290196,All
-0.491583,0.294118,-0.506354,0.292157,-0.536224,0.292157,-0.545477,0.292157,-0.669574,0.292157,-0.545127,0.292157,All
-0.490893,0.296078,-0.504446,0.294118,-0.535379,0.294118,-0.531598,0.294118,-0.658256,0.294118,-0.544457,0.294118,All
-0.49016,0.298039,-0.50014,0.296078,-0.524891,0.296078,-0.525337,0.296078,-0.657216,0.296078,-0.540094,0.296078,All
-0.487349,0.3,-0.490599,0.298039,-0.52342,0.298039,-0.523063,0.298039,-0.637407,0.298039,-0.499408,0.298039,All
-0.481485,0.301961,-0.481842,0.3,-0.520657,0.3,-0.520828,0.3,-0.636959,0.3,-0.499166,0.3,All
-0.480328,0.303922,-0.471212,0.301961,-0.506745,0.301961,-0.520732,0.301961,-0.635776,0.301961,-0.498462,0.301961,All
-0.46462,0.305882,-0.46672,0.303922,-0.503531,0.303922,-0.519455,0.303922,-0.627402,0.303922,-0.489429,0.303922,All
-0.461802,0.307843,-0.465102,0.305882,-0.502382,0.305882,-0.518177,0.305882,-0.603664,0.305882,-0.479397,0.305882,All
-0.457352,0.309804,-0.463898,0.307843,-0.50063,0.307843,-0.516314,0.307843,-0.602967,0.307843,-0.477114,0.307843,All
-0.457012,0.311765,-0.451429,0.309804,-0.497451,0.309804,-0.512491,0.309804,-0.593007,0.309804,-0.467858,0.309804,All
-0.450445,0.313725,-0.450404,0.311765,-0.496781,0.311765,-0.510132,0.311765,-0.592105,0.311765,-0.465216,0.311765,All
-0.44585,0.315686,-0.446826,0.313725,-0.495858,0.313725,-0.503407,0.313725,-0.591928,0.313725,-0.464965,0.313725,All
-0.440177,0.317647,-0.44229,0.315686,-0.490437,0.315686,-0.503129,0.315686,-0.589436,0.315686,-0.462541,0.315686,All
-0.432801,0.319608,-0.441652,0.317647,-0.486734,0.317647,-0.491785,0.317647,-0.584654,0.317647,-0.438532,0.317647,All
-0.430229,0.321569,-0.43406,0.319608,-0.471409,0.319608,-0.485394,0.319608,-0.580011,0.319608,-0.437332,0.319608,All
-0.424647,0.323529,-0.427562,0.321569,-0.461351,0.321569,-0.483211,0.321569,-0.578128,0.321569,-0.431736,0.321569,All
-0.422964,0.32549,-0.419318,0.323529,-0.459866,0.323529,-0.482958,0.323529,-0.57572,0.323529,-0.412194,0.323529,All
-0.419129,0.327451,-0.416298,0.32549,-0.458399,0.32549,-0.479264,0.32549,-0.574473,0.32549,-0.410171,0.32549,All
-0.417877,0.329412,-0.410978,0.327451,-0.457097,0.327451,-0.478652,0.327451,-0.571244,0.327451,-0.405732,0.327451,All
-0.414049,0.331373,-0.410707,0.329412,-0.446685,0.329412,-0.476189,0.329412,-0.564434,0.329412,-0.40528,0.329412,All
-0.410799,0.333333,-0.406528,0.331373,-0.445009,0.331373,-0.473947,0.331373,-0.563107,0.331373,-0.402476,0.331373,All
-0.404256,0.335294,-0.403923,0.333333,-0.443273,0.333333,-0.464542,0.333333,-0.556313,0.333333,-0.400039,0.333333,All
-0.398623,0.337255,-0.392008,0.335294,-0.439727,0.335294,-0.457313,0.335294,-0.553801,0.335294,-0.396458,0.335294,All
-0.397278,0.339216,-0.389145,0.337255,-0.429923,0.337255,-0.456666,0.337255,-0.545673,0.337255,-0.393891,0.337255,All
-0.392962,0.341176,-0.388577,0.339216,-0.425376,0.339216,-0.451344,0.339216,-0.541273,0.339216,-0.388206,0.339216,All
-0.391093,0.343137,-0.38473,0.341176,-0.41536,0.341176,-0.437754,0.341176,-0.539166,0.341176,-0.387517,0.341176,All
-0.384759,0.345098,-0.381427,0.343137,-0.41002,0.343137,-0.436936,0.343137,-0.536904,0.343137,-0.386506,0.343137,All
-0.384737,0.347059,-0.378454,0.345098,-0.404783,0.345098,-0.435624,0.345098,-0.536819,0.345098,-0.386087,0.345098,All
-0.383977,0.34902,-0.374632,0.347059,-0.401654,0.347059,-0.426901,0.347059,-0.534129,0.347059,-0.380656,0.347059,All
-0.383551,0.35098,-0.372094,0.34902,-0.3923,0.34902,-0.422094,0.34902,-0.532824,0.34902,-0.375765,0.34902,All
-0.375157,0.352941,-0.368976,0.35098,-0.388678,0.35098,-0.42127,0.35098,-0.53187,0.35098,-0.370597,0.35098,All
-0.375122,0.354902,-0.368346,0.352941,-0.382777,0.352941,-0.420842,0.352941,-0.522617,0.352941,-0.363543,0.352941,All
-0.374277,0.356863,-0.364235,0.354902,-0.378267,0.354902,-0.414654,0.354902,-0.521792,0.354902,-0.362954,0.354902,All
-0.367748,0.358824,-0.363346,0.356863,-0.377037,0.356863,-0.409766,0.356863,-0.519154,0.356863,-0.36221,0.356863,All
-0.367553,0.360784,-0.360653,0.358824,-0.376161,0.358824,-0.40904,0.358824,-0.498867,0.358824,-0.360513,0.358824,All
-0.365802,0.362745,-0.357846,0.360784,-0.371893,0.360784,-0.40824,0.360784,-0.496161,0.360784,-0.355697,0.360784,All
-0.364056,0.364706,-0.353082,0.362745,-0.368037,0.362745,-0.40752,0.362745,-0.489713,0.362745,-0.351604,0.362745,All
-0.35687,0.366667,-0.350462,0.364706,-0.362484,0.364706,-0.398058,0.364706,-0.488502,0.364706,-0.345368,0.364706,All
-0.354507,0.368627,-0.350331,0.366667,-0.362163,0.366667,-0.397839,0.366667,-0.481545,0.366667,-0.341438,0.366667,All
-0.349181,0.370588,-0.333041,0.368627,-0.357614,0.368627,-0.393183,0.368627,-0.478224,0.368627,-0.338102,0.368627,All
-0.344124,0.372549,-0.331181,0.370588,-0.357269,0.370588,-0.392545,0.370588,-0.459722,0.370588,-0.324871,0.370588,All
-0.339228,0.37451,-0.313334,0.372549,-0.347041,0.372549,-0.390581,0.372549,-0.45624,0.372549,-0.31885,0.372549,All
-0.332685,0.376471,-0.312921,0.37451,-0.343171,0.37451,-0.388877,0.37451,-0.453733,0.37451,-0.314907,0.37451,All
-0.317769,0.378431,-0.30642,0.376471,-0.335632,0.376471,-0.383199,0.376471,-0.447531,0.376471,-0.310846,0.376471,All
-0.314586,0.380392,-0.300475,0.378431,-0.333751,0.378431,-0.379903,0.378431,-0.43167,0.378431,-0.309655,0.378431,All
-0.301471,0.382353,-0.297794,0.380392,-0.327113,0.380392,-0.379186,0.380392,-0.402796,0.380392,-0.303674,0.380392,All
