initT_abscissa,initT_cdf,aS_abscissa,aS_cdf,dS_abscissa,dS_cdf,lBt0_abscissa,lBt0_cdf,dI_abscissa,dI_cdf,n_abscissa,n_cdf,split
-0.36535,0.308163,-0.527989,0.308163,-0.604042,0.308163,-0.563021,0.308163,-0.51644,0.308163,-0.552988,0.308163,All
-0.355677,0.310204,-0.52703,0.310204,-0.600113,0.310204,-0.557405,0.310204,-0.506102,0.310204,-0.547041,0.310204,All
-0.304594,0.312245,-0.522569,0.312245,-0.5995,0.312245,-0.555491,0.312245,-0.503406,0.312245,-0.520605,0.312245,All
-0.297126,0.314286,-0.520784,0.314286,-0.595579,0.314286,-0.538705,0.314286,-0.491217,0.314286,-0.518786,0.314286,All
-0.296365,0.316327,-0.516764,0.316327,-0.594955,0.316327,-0.532257,0.316327,-0.488748,0.316327,-0.51504,0.316327,All
-0.292142,0.318367,-0.516453,0.318367,-0.594375,0.318367,-0.521181,0.318367,-0.484939,0.318367,-0.512816,0.318367,All
-0.280408,0.320408,-0.510928,0.320408,-0.576596,0.320408,-0.516438,0.320408,-0.477886,0.320408,-0.5126,0.320408,All
-0.267064,0.322449,-0.508051,0.322449,-0.574345,0.322449,-0.512954,0.322449,-0.476652,0.322449,-0.508733,0.322449,All
-0.265697,0.32449,-0.507259,0.32449,-0.572057,0.32449,-0.512558,0.32449,-0.471747,0.32449,-0.507854,0.32449,All
-0.263753,0.326531,-0.489297,0.326531,-0.568356,0.326531,-0.511454,0.326531,-0.471362,0.326531,-0.505319,0.326531,All
-0.242025,0.328571,-0.488334,0.328571,-0.559103,0.328571,-0.510376,0.328571,-0.471277,0.328571,-0.499165,0.328571,All
-0.218925,0.330612,-0.486303,0.330612,-0.556422,0.330612,-0.508947,0.330612,-0.463492,0.330612,-0.498872,0.330612,All
-0.218409,0.332653,-0.476687,0.332653,-0.542887,0.332653,-0.506591,0.332653,-0.454565,0.332653,-0.493354,0.332653,All
-0.217312,0.334694,-0.442806,0.334694,-0.535109,0.334694,-0.503944,0.334694,-0.453157,0.334694,-0.490137,0.334694,All
-0.215837,0.336735,-0.4316,0.336735,-0.534616,0.336735,-0.49999,0.336735,-0.451327,0.336735,-0.47966,0.336735,All
-0.19546,0.338776,-0.431465,0.338776,-0.531785,0.338776,-0.489161,0.338776,-0.444713,0.338776,-0.473981,0.338776,All
-0.193189,0.340816,-0.430113,0.340816,-0.529243,0.340816,-0.48839,0.340816,-0.436865,0.340816,-0.469039,0.340816,All
-0.192108,0.342857,-0.426968,0.342857,-0.521687,0.342857,-0.486557,0.342857,-0.423977,0.342857,-0.464286,0.342857,All
-0.187508,0.344898,-0.425791,0.344898,-0.519114,0.344898,-0.485461,0.344898,-0.422055,0.344898,-0.46342,0.344898,All
-0.183987,0.346939,-0.420342,0.346939,-0.518368,0.346939,-0.483313,0.346939,-0.420988,0.346939,-0.458363,0.346939,All
-0.181411,0.34898,-0.41629,0.34898,-0.510413,0.34898,-0.472279,0.34898,-0.420306,0.34898,-0.454314,0.34898,All
-0.172459,0.35102,-0.405939,0.35102,-0.498801,0.35102,-0.471753,0.35102,-0.418582,0.35102,-0.45314,0.35102,All
-0.167055,0.353061,-0.402111,0.353061,-0.496804,0.353061,-0.460695,0.353061,-0.418227,0.353061,-0.45203,0.353061,All
-0.152349,0.355102,-0.400835,0.355102,-0.494107,0.355102,-0.449769,0.355102,-0.414113,0.355102,-0.439704,0.355102,All
-0.141454,0.357143,-0.399184,0.357143,-0.490215,0.357143,-0.444826,0.357143,-0.409523,0.357143,-0.429832,0.357143,All
-0.12514,0.359184,-0.398586,0.359184,-0.489058,0.359184,-0.443727,0.359184,-0.408828,0.359184,-0.423926,0.359184,All
-0.123701,0.361224,-0.397836,0.361224,-0.465831,0.361224,-0.443612,0.361224,-0.396457,0.361224,-0.421069,0.361224,All
-0.107171,0.363265,-0.392632,0.363265,-0.45992,0.363265,-0.429249,0.363265,-0.39586,0.363265,-0.420694,0.363265,All
-0.0905505,0.365306,-0.390171,0.365306,-0.458287,0.365306,-0.425823,0.365306,-0.37788,0.365306,-0.405455,0.365306,All
-0.0887787,0.367347,-0.386994,0.367347,-0.446706,0.367347,-0.42517,0.367347,-0.372999,0.367347,-0.403499,0.367347,All
-0.0847693,0.369388,-0.374229,0.369388,-0.445592,0.369388,-0.424637,0.369388,-0.371427,0.369388,-0.40247,0.369388,All
-0.0819597,0.371429,-0.371539,0.371429,-0.437017,0.371429,-0.423949,0.371429,-0.366433,0.371429,-0.391328,0.371429,All
-0.0715821,0.373469,-0.370851,0.373469,-0.414157,0.373469,-0.422969,0.373469,-0.36539,0.373469,-0.390912,0.373469,All
-0.0642093,0.37551,-0.362118,0.37551,-0.413291,0.37551,-0.418072,0.37551,-0.35326,0.37551,-0.38916,0.37551,All
-0.0632281,0.377551,-0.361055,0.377551,-0.407117,0.377551,-0.414804,0.377551,-0.333075,0.377551,-0.38059,0.377551,All
-0.0599675,0.379592,-0.359177,0.379592,-0.406522,0.379592,-0.41203,0.379592,-0.330312,0.379592,-0.37934,0.379592,All
-0.0561283,0.381633,-0.350832,0.381633,-0.40546,0.381633,-0.41051,0.381633,-0.325528,0.381633,-0.37652,0.381633,All
-0.0545032,0.383673,-0.341959,0.383673,-0.402939,0.383673,-0.408266,0.383673,-0.320204,0.383673,-0.373795,0.383673,All
-0.0463102,0.385714,-0.333366,0.385714,-0.399915,0.385714,-0.405721,0.385714,-0.312027,0.385714,-0.373179,0.385714,All
-0.0447076,0.387755,-0.333084,0.387755,-0.39984,0.387755,-0.402417,0.387755,-0.306578,0.387755,-0.371824,0.387755,All
-0.0397567,0.389796,-0.333048,0.389796,-0.39647,0.389796,-0.396385,0.389796,-0.298819,0.389796,-0.365987,0.389796,All
-0.0381806,0.391837,-0.320672,0.391837,-0.386472,0.391837,-0.394497,0.391837,-0.292277,0.391837,-0.350234,0.391837,All
-0.0335469,0.393878,-0.313963,0.393878,-0.386359,0.393878,-0.385778,0.393878,-0.289067,0.393878,-0.348803,0.393878,All
-0.0246453,0.395918,-0.311608,0.395918,-0.385454,0.395918,-0.38233,0.395918,-0.286755,0.395918,-0.340888,0.395918,All
