initT_abscissa,initT_cdf,aS_abscissa,aS_cdf,dS_abscissa,dS_cdf,lBt0_abscissa,lBt0_cdf,lk_abscissa,lk_cdf,lae_abscissa,lae_cdf,lw_abscissa,lw_cdf,dE_abscissa,dE_cdf,split
-0.832681,0.201961,-0.761045,0.201961,-0.808662,0.201961,-0.852977,0.201961,-0.861632,0.201961,-0.626506,0.201961,-0.95059,0.201961,-1.00542,0.201961,All
-0.8312,0.203922,-0.751315,0.203922,-0.802629,0.203922,-0.843534,0.203922,-0.856437,0.203922,-0.60436,0.203922,-0.947987,0.203922,-1.00426,0.203922,All
-0.828298,0.205882,-0.749584,0.205882,-0.791131,0.205882,-0.833476,0.205882,-0.841155,0.205882,-0.60006,0.205882,-0.935381,0.205882,-0.987903,0.205882,All
-0.810749,0.207843,-0.734611,0.207843,-0.781026,0.207843,-0.827475,0.207843,-0.840237,0.207843,-0.591568,0.207843,-0.934439,0.207843,-0.984888,0.207843,All
-0.809857,0.209804,-0.7296,0.209804,-0.77797,0.209804,-0.827126,0.209804,-0.833144,0.209804,-0.590015,0.209804,-0.9266,0.209804,-0.983342,0.209804,All
-0.803311,0.211765,-0.72255,0.211765,-0.774761,0.211765,-0.812709,0.211765,-0.833041,0.211765,-0.58838,0.211765,-0.926042,0.211765,-0.980063,0.211765,All
-0.798823,0.213725,-0.705378,0.213725,-0.77346,0.213725,-0.810682,0.213725,-0.806449,0.213725,-0.586444,0.213725,-0.925132,0.213725,-0.974063,0.213725,All
-0.776218,0.215686,-0.703914,0.215686,-0.77323,0.215686,-0.79567,0.215686,-0.778097,0.215686,-0.585094,0.215686,-0.921073,0.215686,-0.974013,0.215686,All
-0.775277,0.217647,-0.703157,0.217647,-0.755682,0.217647,-0.786862,0.217647,-0.762085,0.217647,-0.560588,0.217647,-0.912535,0.217647,-0.970855,0.217647,All
-0.774848,0.219608,-0.700015,0.219608,-0.748848,0.219608,-0.75991,0.219608,-0.751786,0.219608,-0.555351,0.219608,-0.906269,0.219608,-0.962676,0.219608,All
-0.772506,0.221569,-0.67303,0.221569,-0.74397,0.221569,-0.740184,0.221569,-0.746417,0.221569,-0.551017,0.221569,-0.900744,0.221569,-0.961775,0.221569,All
-0.744578,0.223529,-0.672789,0.223529,-0.742214,0.223529,-0.726737,0.223529,-0.745908,0.223529,-0.540212,0.223529,-0.890782,0.223529,-0.957447,0.223529,All
-0.735497,0.22549,-0.668608,0.22549,-0.736722,0.22549,-0.72349,0.22549,-0.743648,0.22549,-0.539204,0.22549,-0.889249,0.22549,-0.95431,0.22549,All
-0.73201,0.227451,-0.667865,0.227451,-0.711824,0.227451,-0.721707,0.227451,-0.741842,0.227451,-0.536198,0.227451,-0.860993,0.227451,-0.941684,0.227451,All
