rep,id_var,initT_simulated,aS_simulated,dS_simulated,lBt0_simulated,dI_simulated,w_simulated,eta_initT_simulated,eta_aS_simulated,eta_dS_simulated,eta_lBt0_simulated,eta_dI_simulated,eta_w_simulated,data,split,color,filter
4,45,-2.56798,2.29824,0.368298,-0.0921511,-4.92863,0.0906405,-2.99573,0,-4.07686,-0.00626498,4.6,0,thai,All,#4682B4,0
5,45,-2.74414,2.12208,0.495081,0.0346317,-5.02136,-0.00209385,-2.99573,0,-4.09513,-0.0245351,4.6,0,thai,All,#4682B4,0
6,45,-2.82104,2.04517,0.4418,-0.0186494,-4.98563,0.0336369,-2.99573,0,-4.05747,0.0131279,4.6,0,thai,All,#4682B4,0
7,45,-2.96951,1.89671,0.514488,0.0540384,-5.1343,-0.115037,-2.99573,0,-4.14007,-0.0694673,4.6,0,thai,All,#4682B4,0
8,45,-3.22983,1.63639,0.396402,-0.0640477,-4.89941,0.119861,-2.99573,0,-4.0096,0.0609979,4.6,0,thai,All,#4682B4,0
9,45,-2.20394,2.66228,0.394238,-0.0662115,-4.94351,0.075754,-2.99573,0,-4.06862,0.00198123,4.6,0,thai,All,#4682B4,0
10,45,-3.65721,1.209,0.46171,0.00126084,-4.74955,0.269718,-2.99573,0,-4.05628,0.0143219,4.6,0,thai,All,#4682B4,0
1,46,-6.27897,-1.41275,0.393977,-0.0664721,-5.15743,-0.138161,-2.99573,0,-4.1323,-0.0617052,4.6,0,thai,All,#4682B4,0
2,46,-6.23819,-1.37197,0.47334,0.0128908,-5.17015,-0.150885,-2.99573,0,-4.26412,-0.193517,4.6,0,thai,All,#4682B4,0
3,46,-6.19881,-1.3326,0.500806,0.0403567,-4.93318,0.0860842,-2.99573,0,-4.10014,-0.0295433,4.6,0,thai,All,#4682B4,0
4,46,-4.11928,0.74694,0.467902,0.00745224,-4.75723,0.262039,-2.99573,0,-3.97916,0.0914381,4.6,0,thai,All,#4682B4,0
5,46,-4.98777,-0.121549,0.401501,-0.0589485,-4.85628,0.162985,-2.99573,0,-3.97352,0.0970783,4.6,0,thai,All,#4682B4,0
6,46,-3.85421,1.01201,0.583705,0.123255,-4.94816,0.0711087,-2.99573,0,-3.99062,0.0799808,4.6,0,thai,All,#4682B4,0
7,46,-4.34819,0.518025,0.49651,0.0360604,-5.16617,-0.146899,-2.99573,0,-4.12736,-0.0567653,4.6,0,thai,All,#4682B4,0
8,46,-4.29514,0.571083,0.44478,-0.0156695,-5.15166,-0.13239,-2.99573,0,-4.03122,0.039375,4.6,0,thai,All,#4682B4,0
9,46,-2.24813,2.61809,0.565274,0.104824,-5.13988,-0.120616,-2.99573,0,-4.01095,0.0596467,4.6,0,thai,All,#4682B4,0
10,46,-6.85382,-1.9876,0.489826,0.0293762,-5.1086,-0.0893299,-2.99573,0,-4.10172,-0.0311168,4.6,0,thai,All,#4682B4,0
1,47,-2.7876,2.07862,0.455479,-0.00497024,-4.9881,0.0311692,-2.99573,0,-4.07346,-0.00286048,4.6,0,thai,All,#4682B4,0
2,47,-1.90181,2.96441,0.390109,-0.0703406,-4.89173,0.127534,-2.99573,0,-3.98156,0.08904,4.6,0,thai,All,#4682B4,0
3,47,-2.66198,2.20424,0.491383,0.0309332,-4.78607,0.233195,-2.99573,0,-3.99935,0.0712517,4.6,0,thai,All,#4682B4,0
