iteration,convergenceIndicator,phase,a,corr_lBt0_dS,dS_pop,initT_pop,lBt0_pop,lI50_pop,lk_pop,lw_pop,omega_dS,omega_lBt0,omega_lI50,omega_lw
145,817.873,1,0.680331,0.841688,0.0726774,-2.13076,-4.48632,-1.06508,-1.37079,0.661585,0.219569,0.131465,0.0556246,0.2105
146,801.712,1,0.684878,0.816283,0.0707438,-2.14474,-4.49254,-1.06715,-1.35807,0.657038,0.21401,0.128136,0.0571499,0.20517
147,801.497,1,0.682445,0.685963,0.073686,-2.13223,-4.47384,-1.06459,-1.35913,0.658292,0.208591,0.124892,0.0557028,0.206705
148,818.886,1,0.674451,0.707924,0.0738633,-2.14479,-4.47245,-1.06247,-1.35648,0.657568,0.203309,0.12173,0.0542924,0.201471
149,809.286,1,0.678138,0.825256,0.0748521,-2.13062,-4.47786,-1.07254,-1.36098,0.654663,0.214253,0.11867,0.0529176,0.196369
150,816.054,1,0.669803,0.863962,0.0734874,-2.14905,-4.48526,-1.07004,-1.3647,0.665704,0.226061,0.130422,0.0545893,0.216341
151,785.701,1,0.657596,0.871627,0.0737148,-2.16639,-4.48871,-1.08476,-1.35727,0.658493,0.220337,0.131132,0.0532071,0.210863
152,771.903,1,0.663122,0.843661,0.0720186,-2.13023,-4.48801,-1.07976,-1.35422,0.652824,0.214758,0.127811,0.0518599,0.205524
153,773.657,1,0.674568,0.857184,0.0722533,-2.12554,-4.48585,-1.07636,-1.35118,0.658996,0.210694,0.124575,0.0505468,0.20032
154,778.452,1,0.665164,0.846724,0.0719019,-2.17224,-4.48977,-1.07603,-1.34537,0.6472,0.205359,0.125916,0.0516347,0.195248
155,783.375,1,0.665916,0.826143,0.0717014,-2.16092,-4.48749,-1.08431,-1.32974,0.642185,0.206702,0.136509,0.0503272,0.194689
156,791.928,1,0.666972,0.846185,0.0706459,-2.13955,-4.49607,-1.08454,-1.31909,0.6338,0.212331,0.133052,0.0490529,0.198427
157,830.669,1,0.665197,0.792213,0.0713951,-2.14587,-4.48398,-1.07443,-1.31529,0.607757,0.213918,0.129683,0.0478109,0.210139
