iteration,convergenceIndicator,phase,a,aS_pop,b,dI_pop,dS_pop,initT_pop,lBt0_pop,omega_aS,omega_dI,omega_dS,omega_initT,omega_lBt0,omega_w,w_pop
117,1199.96,1,0.119021,1.57572,2.22045e-16,0.846507,0.00680755,-5.46235,-4.07384,0.13301,2.5055,0.0749189,2.80705,0.0910454,0.782179,0.0762359
118,1182.78,1,0.117853,1.56984,2.22045e-16,0.854775,0.00671584,-5.23901,-4.0744,0.129642,2.44206,0.0791098,2.73597,0.0887401,0.762374,0.0731279
119,1168.83,1,0.11817,1.55683,2.22045e-16,0.834317,0.00670727,-5.33363,-4.07515,0.126359,2.38022,0.0771067,2.68027,0.0864931,0.7645,0.0807103
120,1171.9,1,0.117673,1.59073,2.22045e-16,0.823684,0.00668,-5.06553,-4.06873,0.12316,2.32061,0.0751543,2.6124,0.0843031,0.808728,0.0837198
121,1122.67,1,0.114671,1.61265,2.22045e-16,0.851322,0.00663646,-5.05812,-4.0759,0.120041,2.30989,0.0732514,2.7975,0.0821685,0.788251,0.0787605
122,1158.23,1,0.116458,1.62728,2.22045e-16,0.859012,0.00668766,-4.88328,-4.06978,0.123699,2.25141,0.0825689,2.72667,0.0800879,0.77679,0.0733274
123,1157.63,1,0.115336,1.6472,2.22045e-16,0.855535,0.00663903,-5.04206,-4.07744,0.120567,2.1944,0.0889053,2.80475,0.0798974,0.757121,0.0775112
124,1188.35,1,0.119195,1.63325,2.22045e-16,0.872299,0.0066959,-5.33718,-4.09251,0.117514,2.27295,0.0899069,3.01006,0.0789953,0.73795,0.0782837
125,1193.2,1,0.118113,1.60919,2.22045e-16,0.851278,0.00669067,-5.35324,-4.08448,0.132584,2.21539,0.0917239,3.20636,0.0769951,0.719265,0.0795136
126,1177.46,1,0.11716,1.61037,2.22045e-16,0.887008,0.00666107,-5.39723,-4.08264,0.12952,2.16895,0.0894014,3.12517,0.0750455,0.701053,0.0785551
127,1162.9,1,0.116915,1.61615,2.22045e-16,0.88489,0.00667386,-5.08388,-4.07427,0.130631,2.20183,0.0871377,3.04604,0.0781645,0.683302,0.0786146
128,1180.01,1,0.116037,1.62287,2.22045e-16,0.870808,0.00655081,-5.1522,-4.08601,0.127323,2.1855,0.095981,3.03165,0.0770017,0.717779,0.0829734
129,1145.35,1,0.114454,1.59626,2.22045e-16,0.8445,0.00644032,-5.01047,-4.07899,0.124099,2.13016,0.0935507,3.34697,0.0786863,0.699604,0.089426
130,1221.38,1,0.11745,1.58443,2.22045e-16,0.872723,0.0063586,-5.1714,-4.07834,0.121575,2.14705,0.115473,3.42106,0.076694,0.722077,0.0947252
131,1188.85,1,0.116506,1.60916,2.22045e-16,0.881825,0.00643678,-4.97165,-4.07765,0.118497,2.13297,0.112549,3.33443,0.0751031,0.703903,0.0939253
132,1216.41,1,0.118047,1.56868,2.22045e-16,0.873549,0.00639619,-5.33514,-4.07209,0.117466,2.07896,0.115717,3.66768,0.0732014,0.705182,0.0880152
133,1210.83,1,0.11557,1.60061,2.22045e-16,0.895018,0.00637676,-5.34442,-4.0948,0.13008,2.19306,0.112787,3.57481,0.0747706,0.754982,0.0827405
134,1223.73,1,0.115084,1.5669,2.22045e-16,0.89878,0.00639794,-5.68044,-4.09066,0.126786,2.14753,0.124881,3.63857,0.0841477,0.742404,0.0887901
