iteration,convergenceIndicator,phase,a,aS_pop,b,dE_pop,dS_pop,initT_pop,lBt0_pop,lae_pop,lk_pop,lw_pop,omega_aS,omega_dE,omega_dS,omega_initT,omega_lBt0,omega_lae,omega_lk,omega_lw
90,944.043,1,0.349559,15.6143,0.0270063,0.148649,0.00968234,-10.7429,-4.9191,-2.3812,-4.14785,2.7776,0.0340261,1.43277,0.0483374,3.33228,0.0254098,2.05492,0.403331,0.707272
91,942.847,1,0.392097,15.6519,0.0166287,0.130418,0.00968259,-10.7456,-4.91987,-2.24039,-4.20014,2.73756,0.0359323,1.39649,0.0497419,3.24791,0.0251831,2.19315,0.438137,0.689363
92,954.284,1,0.369858,15.6037,0.0241315,0.137671,0.00970247,-10.6026,-4.91698,-2.23824,-4.15593,2.72085,0.0361114,1.36113,0.0484824,3.19838,0.0245455,2.1578,0.43842,0.706787
93,938.223,1,0.369426,15.5803,0.021788,0.146265,0.00967038,-10.4883,-4.91819,-2.67065,-4.17504,2.89092,0.035197,1.34955,0.0472548,3.29563,0.023924,2.34414,0.446357,0.699005
94,935.906,1,0.339631,15.6224,0.0279632,0.146949,0.00967413,-10.4679,-4.91948,-2.49539,-4.1646,2.86939,0.0343058,1.31538,0.0460582,3.21218,0.0239089,2.39604,0.488049,0.681306
95,958.298,1,0.350299,15.637,0.0299258,0.148014,0.00962191,-10.2247,-4.92062,-2.07485,-4.15171,2.76057,0.0334372,1.28207,0.0454547,3.13084,0.0237817,2.33537,0.475691,0.664055
96,968.107,1,0.414227,15.6676,0.0168371,0.149022,0.00962964,-10.107,-4.91867,-1.89953,-4.18321,2.79979,0.035213,1.24961,0.0494659,3.05157,0.0231795,2.27624,0.520118,0.682305
97,988.145,1,0.403945,15.7766,0.0183109,0.141606,0.00956815,-9.99483,-4.92152,-2.45477,-4.23744,2.8357,0.0343214,1.27637,0.0594992,3.0161,0.0225926,2.22577,0.581351,0.665029
98,970.585,1,0.40385,15.7594,0.0178724,0.132997,0.00952542,-9.79395,-4.92181,-2.24191,-4.2878,2.90807,0.0334524,1.29324,0.0579927,2.93973,0.0220205,2.16942,0.566631,0.684238
99,930.122,1,0.374881,15.7025,0.0207986,0.140127,0.00943896,-9.74491,-4.9214,-2.54127,-4.2695,2.87527,0.036857,1.2605,0.0565242,3.07017,0.021463,2.16048,0.553889,0.679393
100,939.007,1,0.449915,15.7217,0.00564202,0.141193,0.00945683,-10.0567,-4.92133,-2.56218,-4.23095,2.81152,0.0359238,1.28232,0.055093,3.27101,0.0209195,2.43241,0.539864,0.673551
101,938.049,1,0.397733,15.7121,0.0139766,0.172441,0.00948341,-10.0009,-4.92247,-2.32744,-4.21484,2.78973,0.0350142,1.4442,0.053698,3.19284,0.0203898,2.54017,0.530373,0.71397
102,945.28,1,0.384945,15.6103,0.0167896,0.138024,0.00945897,-10.1755,-4.9235,-1.93977,-4.19686,2.79287,0.0341276,1.40764,0.0523384,3.23242,0.0221247,2.47585,0.519347,0.800443
103,970.92,1,0.405827,15.6587,0.015493,0.140742,0.00941544,-10.0451,-4.92433,-2.11836,-4.28751,2.90374,0.0332635,1.37199,0.0521057,3.19329,0.0215645,2.46145,0.55565,0.780175
104,978.919,1,0.407249,15.6987,0.0132908,0.159599,0.00945354,-10.1372,-4.92559,-2.1495,-4.27928,2.90374,0.0324212,1.46372,0.0641335,3.14308,0.0210185,2.39913,0.571492,0.760421
105,936.727,1,0.431217,15.6916,0.00874127,0.15863,0.00940946,-9.79116,-4.92638,-1.74972,-4.27645,2.9039,0.0316003,1.42666,0.0625096,3.0635,0.0204863,2.33838,0.557021,0.741167
106,941.206,1,0.39248,15.7417,0.0139263,0.151237,0.00942218,-9.63048,-4.92371,-1.72055,-4.3378,2.90643,0.0327527,1.41766,0.0672983,2.98593,0.0199676,2.67075,0.542917,0.7224
107,939.542,1,0.39273,15.7376,0.0151398,0.141452,0.0094305,-9.63513,-4.92242,-1.95456,-4.39708,2.9781,0.0319234,1.38177,0.0655942,2.98067,0.019462,2.90964,0.550409,0.704108
108,963.099,1,0.392768,15.7434,0.0153092,0.164244,0.00943057,-9.55979,-4.92312,-1.81968,-4.3836,2.9548,0.0320119,1.50846,0.0639334,2.94097,0.0189692,2.84872,0.552,0.712435
109,962.962,1,0.399421,15.7355,0.0137585,0.164163,0.00946389,-9.74944,-4.92331,-1.75647,-4.41307,3.01272,0.0312013,1.57643,0.0623145,3.08903,0.0184889,2.77658,0.585204,0.699379
110,936.122,1,0.387899,15.712,0.0140164,0.156382,0.00938014,-9.65112,-4.92543,-1.75138,-4.41532,3.01211,0.0304113,1.53651,0.0607367,3.01082,0.0183457,2.83914,0.605551,0.740426
111,957.913,1,0.366432,15.7335,0.0210505,0.122556,0.00938936,-9.77304,-4.92904,-1.63083,-4.40172,3.00609,0.0312085,1.4976,0.0591988,2.93458,0.0178812,2.91091,0.611545,0.740202
112,961.16,1,0.41349,15.7357,0.0121051,0.133722,0.00935729,-9.84606,-4.92857,-1.31703,-4.39866,3.01928,0.0336052,1.45968,0.0576999,3.02508,0.0174285,2.8372,0.629304,0.721459
113,968.509,1,0.393452,15.6995,0.0180153,0.141359,0.00938723,-10.0125,-4.9288,-1.52881,-4.42222,3.08655,0.0347836,1.42272,0.0580148,3.10136,0.0169872,2.76536,0.61337,0.703191
114,978.273,1,0.372554,15.6352,0.0225362,0.146536,0.00936437,-9.87539,-4.92801,-1.69481,-4.48132,3.04712,0.0339029,1.46657,0.0577897,3.21752,0.016557,2.69534,0.597839,0.685386
115,995.111,1,0.395469,15.6459,0.0174221,0.151726,0.00935084,-10.0851,-4.92771,-1.63702,-4.44941,3.05537,0.0353914,1.44362,0.0586466,3.13605,0.0167304,2.62709,0.615291,0.716209
116,998.4,1,0.382746,15.5045,0.0238038,0.151483,0.00927096,-10.0595,-4.92939,-1.87891,-4.45398,3.11179,0.0354882,1.40707,0.0571617,3.05665,0.0163068,2.64925,0.599712,0.698074
117,979.561,1,0.357017,15.4592,0.0255299,0.166528,0.00928427,-10.1697,-4.92638,-1.54203,-4.45466,3.07734,0.0387765,1.49326,0.0557143,3.25296,0.0161732,2.58217,0.584527,0.680398
118,1007.65,1,0.383954,15.5,0.0222914,0.167159,0.0092945,-10.1697,-4.92723,-1.99577,-4.43895,3.11088,0.0377947,1.45545,0.0543036,3.26362,0.0170749,2.74273,0.569726,0.69306
119,963.688,1,0.405172,15.4071,0.0156371,0.169834,0.00918762,-9.84365,-4.9269,-1.85478,-4.50416,3.16492,0.0369172,1.54823,0.0529286,3.1907,0.0166426,2.67329,0.5553,0.70769
