initT_abscissa,initT_cdf,dS_abscissa,dS_cdf,lBt0_abscissa,lBt0_cdf,dI_abscissa,dI_cdf,n_abscissa,n_cdf,split
-8.70254,0.62449,0.00103508,0.62449,-4.49237,0.622449,3.10355,0.622449,0.119476,0.622449,All
-8.70089,0.626531,0.00103618,0.626531,-4.48566,0.62449,3.1042,0.62449,0.119785,0.62449,All
-8.69434,0.628571,0.00105047,0.628571,-4.48069,0.626531,3.1077,0.626531,0.121079,0.626531,All
-8.69213,0.630612,0.0010683,0.630612,-4.47769,0.628571,3.10851,0.628571,0.121762,0.628571,All
-8.67555,0.632653,0.00107664,0.632653,-4.47758,0.630612,3.11679,0.630612,0.122306,0.630612,All
-8.67393,0.634694,0.00108584,0.634694,-4.47598,0.632653,3.11803,0.632653,0.123351,0.632653,All
-8.65795,0.636735,0.00108811,0.636735,-4.47396,0.634694,3.12799,0.634694,0.123362,0.634694,All
-8.65018,0.638776,0.00109497,0.638776,-4.46915,0.636735,3.13038,0.636735,0.124147,0.636735,All
-8.61439,0.640816,0.00109727,0.640816,-4.46297,0.638776,3.13829,0.638776,0.124166,0.638776,All
-8.60316,0.642857,0.00109863,0.642857,-4.46013,0.640816,3.16153,0.640816,0.124629,0.640816,All
-8.60057,0.644898,0.00110006,0.644898,-4.45868,0.642857,3.17325,0.642857,0.124943,0.642857,All
-8.57092,0.646939,0.00110793,0.646939,-4.45376,0.644898,3.19501,0.644898,0.125375,0.644898,All
-8.56028,0.64898,0.00110902,0.64898,-4.44808,0.646939,3.19957,0.646939,0.125975,0.646939,All
-8.55743,0.65102,0.0011117,0.65102,-4.44594,0.64898,3.20764,0.64898,0.127775,0.64898,All
-8.55498,0.653061,0.00111372,0.653061,-4.43974,0.65102,3.24771,0.65102,0.128761,0.65102,All
-8.54074,0.655102,0.00112358,0.655102,-4.43861,0.653061,3.26228,0.653061,0.128893,0.653061,All
-8.53503,0.657143,0.00112766,0.657143,-4.43747,0.655102,3.26967,0.655102,0.129172,0.655102,All
-8.51282,0.659184,0.0011373,0.659184,-4.43505,0.657143,3.2773,0.657143,0.129795,0.657143,All
-8.50547,0.661224,0.00114392,0.661224,-4.4345,0.659184,3.31068,0.659184,0.130009,0.659184,All
-8.49146,0.663265,0.00114795,0.663265,-4.43289,0.661224,3.34875,0.661224,0.130032,0.661224,All
-8.48819,0.665306,0.00114999,0.665306,-4.43105,0.663265,3.36442,0.663265,0.131182,0.663265,All
-8.45079,0.667347,0.00117036,0.667347,-4.42674,0.665306,3.37115,0.665306,0.131286,0.665306,All
-8.42632,0.669388,0.00119497,0.669388,-4.42078,0.667347,3.38138,0.667347,0.131659,0.667347,All
-8.40768,0.671429,0.00119552,0.671429,-4.41207,0.669388,3.38212,0.669388,0.131729,0.669388,All
-8.3922,0.673469,0.00120265,0.673469,-4.41185,0.671429,3.4576,0.671429,0.131869,0.671429,All
-8.38629,0.67551,0.0012032,0.67551,-4.41182,0.673469,3.46218,0.673469,0.132034,0.673469,All
-8.34964,0.677551,0.00120783,0.677551,-4.40685,0.67551,3.48718,0.67551,0.132101,0.67551,All
-8.32115,0.679592,0.00121262,0.679592,-4.40604,0.677551,3.4887,0.677551,0.132337,0.677551,All
-8.31103,0.681633,0.00121495,0.681633,-4.40589,0.679592,3.52818,0.679592,0.132534,0.679592,All
-8.21693,0.683673,0.00121846,0.683673,-4.40497,0.681633,3.54597,0.681633,0.133018,0.681633,All
-8.19283,0.685714,0.00125049,0.685714,-4.39923,0.683673,3.5551,0.683673,0.133995,0.683673,All
-8.16711,0.687755,0.00125558,0.687755,-4.39413,0.685714,3.56278,0.685714,0.135223,0.685714,All
-8.15695,0.689796,0.00125908,0.689796,-4.39073,0.687755,3.58977,0.687755,0.135771,0.687755,All
-8.14202,0.691837,0.00126428,0.691837,-4.39051,0.689796,3.6206,0.689796,0.136288,0.689796,All
-8.12275,0.693878,0.00126625,0.693878,-4.38078,0.691837,3.62717,0.691837,0.137365,0.691837,All
-8.06764,0.695918,0.00127073,0.695918,-4.38065,0.693878,3.64751,0.693878,0.137615,0.693878,All
-8.05321,0.697959,0.00127264,0.697959,-4.37973,0.695918,3.65042,0.695918,0.138434,0.695918,All
-8.04019,0.7,0.00127617,0.7,-4.37617,0.697959,3.68584,0.697959,0.13873,0.697959,All
-8.03899,0.702041,0.00127905,0.702041,-4.37592,0.7,3.71498,0.7,0.139788,0.7,All
-8.02844,0.704082,0.00128283,0.704082,-4.37354,0.702041,3.72037,0.702041,0.140625,0.702041,All
-8.01636,0.706122,0.00129144,0.706122,-4.36891,0.704082,3.76518,0.704082,0.141057,0.704082,All
-8.00397,0.708163,0.00129705,0.708163,-4.3681,0.706122,3.78651,0.706122,0.141735,0.706122,All
-7.99561,0.710204,0.0013006,0.710204,-4.36707,0.708163,3.80035,0.708163,0.143262,0.708163,All
-7.98847,0.712245,0.00131994,0.712245,-4.36431,0.710204,3.81903,0.710204,0.14329,0.710204,All
-7.98269,0.714286,0.00133683,0.714286,-4.36399,0.712245,3.82255,0.712245,0.144483,0.712245,All
-7.93086,0.716327,0.00135598,0.716327,-4.36323,0.714286,3.83386,0.714286,0.145644,0.714286,All
-7.92939,0.718367,0.00136907,0.718367,-4.36187,0.716327,3.84307,0.716327,0.145783,0.716327,All
-7.90091,0.720408,0.00137868,0.720408,-4.35711,0.718367,3.84855,0.718367,0.145893,0.718367,All
-7.9006,0.722449,0.00138841,0.722449,-4.3554,0.720408,3.89216,0.720408,0.148617,0.720408,All
-7.81608,0.72449,0.00141559,0.72449,-4.35426,0.722449,3.89626,0.722449,0.148719,0.722449,All
-7.80602,0.726531,0.00141882,0.726531,-4.35381,0.72449,3.92399,0.72449,0.148899,0.72449,All
-7.72514,0.728571,0.00143834,0.728571,-4.35282,0.726531,3.94271,0.726531,0.150287,0.726531,All
-7.69999,0.730612,0.00144185,0.730612,-4.35035,0.728571,3.95841,0.728571,0.150447,0.728571,All
-7.69282,0.732653,0.00144475,0.732653,-4.3501,0.730612,4.02407,0.730612,0.150844,0.730612,All
-7.65697,0.734694,0.00149301,0.734694,-4.34306,0.732653,4.02434,0.732653,0.150957,0.732653,All
-7.62973,0.736735,0.00149578,0.736735,-4.33627,0.734694,4.02837,0.734694,0.151482,0.734694,All
-7.57179,0.738776,0.00149718,0.738776,-4.33202,0.736735,4.04033,0.736735,0.152675,0.736735,All
-7.53983,0.740816,0.00150573,0.740816,-4.33184,0.738776,4.05719,0.738776,0.154455,0.738776,All
-7.53796,0.742857,0.00151171,0.742857,-4.33145,0.740816,4.06027,0.740816,0.155468,0.740816,All
-7.53667,0.744898,0.00152323,0.744898,-4.33082,0.742857,4.07285,0.742857,0.155738,0.742857,All
-7.52739,0.746939,0.00156737,0.746939,-4.32706,0.744898,4.07669,0.744898,0.156009,0.744898,All
-7.51926,0.74898,0.00157025,0.74898,-4.3142,0.746939,4.10704,0.746939,0.156441,0.746939,All
-7.51696,0.75102,0.00157638,0.75102,-4.31115,0.74898,4.12962,0.74898,0.157023,0.74898,All
-7.51415,0.753061,0.00157881,0.753061,-4.30884,0.75102,4.13467,0.75102,0.157598,0.75102,All
-7.50359,0.755102,0.00158931,0.755102,-4.30577,0.753061,4.13841,0.753061,0.157818,0.753061,All
-7.41105,0.757143,0.00159779,0.757143,-4.30088,0.755102,4.15112,0.755102,0.159128,0.755102,All
-7.40584,0.759184,0.00160745,0.759184,-4.29992,0.757143,4.15669,0.757143,0.159747,0.757143,All
-7.38524,0.761224,0.00161188,0.761224,-4.29954,0.759184,4.18524,0.759184,0.160575,0.759184,All
-7.34492,0.763265,0.00163948,0.763265,-4.29841,0.761224,4.1884,0.761224,0.16144,0.761224,All
-7.29949,0.765306,0.00164503,0.765306,-4.29699,0.763265,4.20392,0.763265,0.162851,0.763265,All
-7.28973,0.767347,0.00164815,0.767347,-4.29652,0.765306,4.25758,0.765306,0.164071,0.765306,All
-7.28669,0.769388,0.0016525,0.769388,-4.29606,0.767347,4.25762,0.767347,0.164183,0.767347,All
-7.28034,0.771429,0.00166378,0.771429,-4.28625,0.769388,4.25895,0.769388,0.164602,0.769388,All
-7.26793,0.773469,0.00167042,0.773469,-4.28364,0.771429,4.26255,0.771429,0.164702,0.771429,All
-7.238,0.77551,0.0016758,0.77551,-4.28218,0.773469,4.28549,0.773469,0.165177,0.773469,All
-7.19553,0.777551,0.0017044,0.777551,-4.27444,0.77551,4.2935,0.77551,0.165184,0.77551,All
-7.18904,0.779592,0.00170897,0.779592,-4.27195,0.777551,4.29427,0.777551,0.166611,0.777551,All
-7.1823,0.781633,0.0017225,0.781633,-4.27109,0.779592,4.33141,0.779592,0.167158,0.779592,All
